fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.buffer_tank.capital_a_parameter[default],fs.costing.buffer_tank.capital_b_parameter[default],fs.costing.buffer_tank.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[BufferTankZO],fs.costing.LCOW_aggregate_indirect_capex[BufferTankZO],fs.costing.LCOW_aggregate_fixed_opex[BufferTankZO],fs.costing.LCOW_aggregate_variable_opex[BufferTankZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,149455.63005496084,0.0,0.0,0.0,0.0,157152.59500279135,2226.888887818917,1000000.0,0.7,29526.20883,367.6610403634258,0.036766104036342576,5.218206108982621e-17,0.0,149455.63005496163,1.0515,0.014900000000000002,149455.63005496163,2226.888887818917,2226.888887818917,0.0,12449.890719339994,224.18344508244127,7472.781502748043,149.45563005496084,134.51006704946477,1195.6450404396867,448.36689016488253,298.91126010992167,0.001072927886569866,0.0008378652051800756,4.315005806677404e-05,0.0001919126233230219,3.080681762620316e-21,0.0008378652051800756,4.315005806677404e-05,0.0001919126233230219,3.080681762620316e-21,0.0,0.0,3.9421004733893745e-20,1.0,149455.63005496163,8.391666666666666,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,159645.85353307106,0.0,0.0,0.0,0.0,167867.61499002425,2378.723217642759,1000000.0,0.7,29526.20883,403.9890180358795,0.040398901803587954,5.218206108982621e-17,0.0,159645.8535330719,1.0515,0.014900000000000002,159645.8535330719,2378.723217642759,2378.723217642759,0.0,13298.752476247182,239.46878029960658,7982.292676653553,159.64585353307106,143.68126817976398,1277.1668282645685,478.93756059921316,319.2917070661421,0.001043023152815018,0.0008145121576947826,4.194737612128133e-05,0.00018656361899895943,2.8036570582545488e-21,0.0008145121576947826,4.194737612128133e-05,0.00018656361899895943,2.8036570582545488e-21,0.0,0.0,3.587614258204338e-20,1.0,159645.8535330719,9.220833333333333,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,169564.4344866914,0.0,0.0,0.0,0.0,178297.00286275602,2526.510073851702,1000000.0,0.7,29526.20883,440.3169957083331,0.04403169957083332,5.218206108982621e-17,0.0,169564.43448669228,1.0515,0.014900000000000002,169564.43448669228,2526.510073851702,2526.510073851702,0.0,14124.98598058616,254.3466517300371,8478.221724334571,169.5644344866914,152.60799103802228,1356.5154758935312,508.6933034600742,339.1288689733828,0.0010164246340313363,0.0007937409822251772,4.087766058459686e-05,0.00018180599122156771,2.572343727163067e-21,0.0007937409822251772,4.087766058459686e-05,0.00018180599122156771,2.572343727163067e-21,0.0,0.0,3.291621207879851e-20,1.0,169564.43448669228,10.049999999999999,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,179240.21808621837,0.0,0.0,0.0,0.0,188471.08931765863,2670.679249484654,1000000.0,0.7,29526.20883,476.6449733807868,0.04766449733807868,5.218206108982621e-17,0.0,179240.2180862193,1.0515,0.014900000000000002,179240.2180862193,2670.679249484654,2670.679249484654,0.0,14930.994080741331,268.8603271293276,8962.010904310919,179.2402180862184,161.31619627759656,1433.9217446897471,537.7206542586551,358.4804361724368,0.0009925360997545827,0.000775086073611298,3.991693279098195e-05,0.000177533093352308,2.3762899540089304e-21,0.000775086073611298,3.991693279098195e-05,0.000177533093352308,2.3762899540089304e-21,0.0,0.0,3.040746975643891e-20,1.0,179240.2180862193,10.879166666666665,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,188697.035510463,0.0,0.0,0.0,0.0,198414.93283925188,2811.585829105899,1000000.0,0.7,29526.20883,512.9729510532405,0.05129729510532406,5.218206108982621e-17,0.0,188697.035510464,1.0515,0.014900000000000002,188697.035510464,2811.585829105899,2811.585829105899,0.0,15718.761951655928,283.0455532656945,9434.85177552315,188.697035510463,169.8273319594167,1509.576284083704,566.091106531389,377.394071020926,0.0009709044175893993,0.0007581935740849177,3.9046969065373396e-05,0.00017366387443911325,2.2080046512161272e-21,0.0007581935740849177,3.9046969065373396e-05,0.00017366387443911325,2.2080046512161272e-21,0.0,0.0,2.825405819717509e-20,1.0,188697.035510464,11.708333333333332,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,197954.86738194045,0.0,0.0,0.0,0.0,208149.54305211038,2949.527523990913,1000000.0,0.7,29526.20883,549.3009287256942,0.05493009287256943,5.218206108982621e-17,0.0,197954.86738194147,1.0515,0.014900000000000002,197954.86738194147,2949.527523990913,2949.527523990913,0.0,16489.954010834503,296.93230107291066,9897.743369097023,197.95486738194046,178.15938064374643,1583.6389390555237,593.8646021458213,395.9097347638809,0.0009511778246406173,0.0007427887868150338,3.8253622520974366e-05,0.00017013541530461424,2.0619784213749805e-21,0.0007427887868150338,3.8253622520974366e-05,0.00017013541530461424,2.0619784213749805e-21,0.0,0.0,2.638547807712263e-20,1.0,197954.86738194147,12.5375,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,207030.6783442384,0.0,0.0,0.0,0.0,217692.7582789667,3084.757107329153,1000000.0,0.7,29526.20883,585.6289063981479,0.0585628906398148,3.7694835252461893e-23,0.0,207030.6783442384,1.0515,0.014900000000000002,207030.6783442384,3084.7571073291524,3084.7571073291524,0.0,17245.983439959695,310.5460175163576,10351.53391721192,207.0306783442384,186.32761050981458,1656.2454267539072,621.0920350327152,414.0613566884768,0.0009330782479405759,0.0007286545605214669,3.752570986685563e-05,0.00016689797755225325,1.397116317077838e-27,0.0007286545605214669,3.752570986685563e-05,0.00016689797755225325,1.397116317077838e-27,0.0,0.0,1.7877772906501134e-26,1.0,207030.6783442384,13.366666666666665,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,215939.0303449624,0.0,0.0,0.0,0.0,227059.890407728,3217.4915521399403,1000000.0,0.7,29526.20883,621.9568840706015,0.062195688407060155,3.7694835252461893e-23,0.0,215939.0303449624,1.0515,0.014900000000000002,215939.0303449624,3217.4915521399403,3217.4915521399403,0.0,17988.063272332973,323.9085455174436,10796.95151724812,215.93903034496242,194.34512731046618,1727.5122427596993,647.8170910348872,431.87806068992484,0.0009163823862104622,0.00071561651594339,3.685425057108473e-05,0.0001639116196959875,1.315511929904815e-27,0.00071561651594339,3.685425057108473e-05,0.0001639116196959875,1.315511929904815e-27,0.0,0.0,1.6833547250970252e-26,1.0,215939.0303449624,14.195833333333331,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,224692.54277974425,0.0,0.0,0.0,0.0,236264.2087329011,3347.9188874181896,1000000.0,0.7,29526.20883,658.2848617430552,0.06582848617430553,3.7694835252461893e-23,0.0,224692.54277974425,1.0515,0.014900000000000002,224692.54277974425,3347.9188874181896,3347.9188874181896,0.0,18717.24472359942,337.0388141696164,11234.627138987213,224.69254277974426,202.22328850176984,1797.540342237954,674.0776283392328,449.3850855594885,0.0009009084417175494,0.000703532684551004,3.623193325437679e-05,0.00016114382391216867,1.2429143497464516e-27,0.000703532684551004,3.623193325437679e-05,0.00016114382391216867,1.2429143497464516e-27,0.0,0.0,1.590457445481299e-26,1.0,224692.54277974425,15.024999999999999,default,BufferTankZO,buffer_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,233302.24406163974,0.0,0.0,0.0,0.0,245317.3096308142,3476.2034365184327,1000000.0,0.7,29526.20883,694.612839415509,0.0694612839415509,3.7694835252461893e-23,0.0,233302.24406163974,1.0515,0.014900000000000002,233302.24406163974,3476.2034365184327,3476.2034365184327,0.0,19434.44647803545,349.9533660924596,11665.112203081988,233.30224406163975,209.97201965547578,1866.417952493118,699.9067321849192,466.6044881232795,0.0008865066030802359,0.0006922860764276935,3.565273293602634e-05,0.0001585677937165161,1.1779104192340878e-27,0.0006922860764276935,3.565273293602634e-05,0.0001585677937165161,1.1779104192340878e-27,0.0,0.0,1.5072771480697932e-26,1.0,233302.24406163974,15.854166666666666,default,BufferTankZO,buffer_tank
