fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.suboxic_activated_sludge_process.aeration_basin_cost[default],fs.costing.suboxic_activated_sludge_process.other_equipment_cost[default],fs.costing.suboxic_activated_sludge_process.control_system_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SuboxicASMZO],fs.costing.LCOW_aggregate_indirect_capex[SuboxicASMZO],fs.costing.LCOW_aggregate_fixed_opex[SuboxicASMZO],fs.costing.LCOW_aggregate_variable_opex[SuboxicASMZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,946288.2316958886,0.0,0.0,7.887063177454996,5403.012029874979,995022.075628227,19502.70668214372,25360.5,1523.4375,282.8125,4.381263638888887,0.0004381263638888888,4.381263638888887,0.000394313727500011,3.76948361321601e-21,4.381263638889997e-05,1.0,0.1,7.887063177454997,0.5,946288.2316958887,1.0515,0.0149,573508.0192096295,14099.69465226874,14099.69465226874,5403.012029874979,84230.32063831537,1419.432347543833,47314.411584794434,946.2882316958886,851.6594085262998,7570.305853567109,2838.864695087666,1892.5764633917772,0.6091463864923209,0.2698047523696836,0.19829974787290822,0.10196777102339169,0.03907411522633744,0.2698047523696836,0.19829974787290822,0.10196777102339169,0.03907411522633744,0.039074115226337434,0.49999999999999994,0.5,1.65,573508.0192096295,0.1,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8792594.819507634,0.0,0.0,73.28396202385268,50202.98677758836,9245413.452712279,181212.64958825213,25360.5,1523.4375,282.8125,40.70924131134258,0.004070924131134258,40.70924131134258,0.0036638317180209246,4.848583176044851e-16,0.0004070924131135189,1.0,0.1,73.2839620238527,0.5,8792594.819507634,1.0515,0.0149,5328845.3451561425,131009.66281066375,131009.66281066375,50202.98677758836,782640.0625976806,13188.892229261452,439629.74097538175,8792.594819507634,7913.335337556871,70340.75855606108,26377.784458522903,17585.18963901527,0.609146386492321,0.2698047523696836,0.19829974787290822,0.10196777102339169,0.03907411522633745,0.2698047523696836,0.19829974787290822,0.10196777102339169,0.03907411522633745,0.03907411522633744,0.4999999999999999,0.5,1.65,5328845.3451561425,0.9291666666666666,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,16638901.407319374,0.0,0.0,138.68086087025037,95002.96152530173,17495804.829796325,342922.5924943604,25360.5,1523.4375,282.8125,77.03721898379627,0.007703721898379629,77.03721898379627,0.006933349708541841,9.175345741214919e-16,0.0007703721898381391,1.0,0.1,138.68086087025037,0.5,16638901.407319376,1.0515,0.0149,10084182.671102652,247919.6309690587,247919.6309690587,95002.96152530173,1481049.8045570452,24958.352110979064,831945.0703659687,16638.901407319376,14975.011266587439,133111.211258555,49916.70422195813,33277.80281463875,0.6091463864923209,0.2698047523696836,0.19829974787290816,0.10196777102339168,0.03907411522633744,0.2698047523696836,0.19829974787290816,0.10196777102339168,0.03907411522633744,0.03907411522633744,0.5,0.5,1.65,10084182.671102652,1.7583333333333333,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,24485207.995131116,0.0,0.0,204.07775971664802,139802.9362730151,25746196.206880372,504632.53540046874,25360.5,1523.4375,282.8125,113.36519665624996,0.011336519665624998,113.36519665624996,0.010202867699063058,9.753538688134756e-22,0.0011336519665630634,1.0,0.1,204.07775971664807,0.5,24485207.99513112,1.0515,0.0149,14839519.997049164,364829.59912745364,364829.59912745364,139802.9362730151,2179459.54651641,36727.811992696676,1224260.399756556,24485.207995131117,22036.687195618008,195881.66396104894,73455.62398539335,48970.415990262234,0.6091463864923208,0.26980475236968354,0.19829974787290824,0.10196777102339168,0.03907411522633744,0.26980475236968354,0.19829974787290824,0.10196777102339168,0.03907411522633744,0.03907411522633744,0.49999999999999983,0.5,1.65,14839519.997049164,2.5875,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,32331514.58294285,0.0,0.0,269.47465856304564,184602.9110207284,33996587.583964415,666342.478306577,25360.5,1523.4375,282.8125,149.69317432870363,0.014969317432870366,149.69317432870363,0.013472385689584072,1.287906874650526e-21,0.001496931743287781,1.0,0.1,269.4746585630457,0.5,32331514.58294286,1.0515,0.0149,19594857.322995674,481739.5672858485,481739.5672858485,184602.9110207284,2877869.2884757747,48497.27187441428,1616575.7291471427,32331.51458294285,29098.363124648567,258652.1166635428,96994.54374882855,64663.0291658857,0.6091463864923209,0.2698047523696836,0.19829974787290827,0.10196777102339169,0.03907411522633744,0.2698047523696836,0.19829974787290827,0.10196777102339169,0.03907411522633744,0.039074115226337434,0.4999999999999999,0.5,1.65,19594857.322995674,3.4166666666666665,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,40177821.170754604,0.0,0.0,334.87155740944337,229402.8857684418,42246978.96104847,828052.4212126854,25360.5,1523.4375,282.8125,186.02115200115733,0.018602115200115732,186.02115200115733,0.016741903680105082,1.600459891015993e-21,0.0018602115200124984,1.0,0.1,334.8715574094434,0.5,40177821.17075461,1.0515,0.0149,24350194.64894219,598649.5354442436,598649.5354442436,229402.8857684418,3576279.03043514,60266.73175613191,2008891.0585377302,40177.82117075461,36160.039053679146,321422.56936603686,120533.46351226381,80355.64234150921,0.6091463864923209,0.26980475236968365,0.19829974787290822,0.1019677710233917,0.03907411522633745,0.26980475236968365,0.19829974787290822,0.1019677710233917,0.03907411522633745,0.039074115226337434,0.4999999999999999,0.5,1.65,24350194.64894219,4.245833333333333,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,48024127.758566335,0.0,0.0,400.26845625584093,274202.86051615514,50497370.3381325,989762.3641187936,25360.5,1523.4375,282.8125,222.349129673611,0.022234912967361103,222.349129673611,0.020011421670626098,1.9130128864787002e-21,0.0022234912967372157,1.0,0.1,400.26845625584104,0.5,48024127.75856634,1.0515,0.0149,29105531.974888694,715559.5036026384,715559.5036026384,274202.86051615514,4274688.7723945035,72036.19163784951,2401206.387928317,48024.127758566334,43221.7149827097,384193.02206853067,144072.38327569902,96048.25551713267,0.6091463864923207,0.26980475236968354,0.1982997478729082,0.10196777102339168,0.03907411522633744,0.26980475236968354,0.1982997478729082,0.10196777102339168,0.03907411522633744,0.039074115226337434,0.49999999999999983,0.5,1.65,29105531.974888694,5.074999999999999,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,55870434.34637809,0.0,0.0,465.6653551022387,319002.83526386856,58747761.71521656,1151472.3070249022,25360.5,1523.4375,282.8125,258.6771073460647,0.025867710734606475,258.6771073460647,0.02328093966114583,2.225565922315319e-21,0.002586771073460648,1.0,0.1,465.6653551022387,0.5,55870434.34637809,1.0515,0.0149,33860869.30083521,832469.4717610335,832469.4717610335,319002.83526386856,4973098.5143538695,83805.65151956714,2793521.7173189046,55870.43434637809,50283.39091174029,446963.4747710247,167611.30303913428,111740.86869275618,0.6091463864923209,0.2698047523696836,0.19829974787290816,0.10196777102339169,0.03907411522633744,0.2698047523696836,0.19829974787290816,0.10196777102339169,0.03907411522633744,0.03907411522633744,0.5,0.5,1.65,33860869.30083521,5.904166666666666,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,63716740.934189826,0.0,0.0,531.0622539486363,363802.81001158187,66998153.09230061,1313182.2499310104,25360.5,1523.4375,282.8125,295.00508501851834,0.029500508501851843,295.00508501851834,0.026550457651666654,2.5381189658171393e-21,0.0029500508501851845,1.0,0.1,531.0622539486363,0.5,63716740.934189826,1.0515,0.0149,38616206.62678172,949379.4399194284,949379.4399194284,363802.81001158187,5671508.256313235,95575.11140128474,3185837.0467094914,63716.74093418983,57345.06684077085,509733.92747351865,191150.22280256948,127433.48186837966,0.609146386492321,0.26980475236968365,0.19829974787290822,0.10196777102339169,0.03907411522633745,0.26980475236968365,0.19829974787290822,0.10196777102339169,0.03907411522633745,0.03907411522633744,0.5,0.5,1.65,38616206.62678172,6.7333333333333325,default,SuboxicASMZO,suboxic_activated_sludge_process
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,71563047.5220016,0.0,0.0,596.4591527950341,408602.7847592953,75248544.46938469,1474892.192837119,25360.5,1523.4375,282.8125,331.3330626909721,0.03313330626909721,331.3330626909721,0.02981997564218749,2.850671935421028e-21,0.003313330626909721,1.0,0.1,596.4591527950341,0.5,71563047.5220016,1.0515,0.0149,43371543.95272824,1066289.4080778237,1066289.4080778237,408602.7847592953,6369917.9982726015,107344.5712830024,3578152.37610008,71563.0475220016,64406.74276980144,572504.3801760128,214689.1425660048,143126.0950440032,0.609146386492321,0.26980475236968365,0.19829974787290824,0.1019677710233917,0.03907411522633744,0.26980475236968365,0.19829974787290824,0.1019677710233917,0.03907411522633744,0.03907411522633744,0.5,0.5,1.65,43371543.95272824,7.562499999999999,default,SuboxicASMZO,suboxic_activated_sludge_process
