fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.tramp_oil_tank.capital_a_parameter[default],fs.costing.tramp_oil_tank.capital_b_parameter[default],fs.costing.tramp_oil_tank.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[TrampOilTankZO],fs.costing.LCOW_aggregate_indirect_capex[TrampOilTankZO],fs.costing.LCOW_aggregate_fixed_opex[TrampOilTankZO],fs.costing.LCOW_aggregate_variable_opex[TrampOilTankZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8162289.067543096,0.0,0.0,0.0,0.0,8582646.954521565,121618.10710639214,1000000.0,0.7,100000.0,367.6610403634258,0.036766104036342576,5.218206108668607e-19,0.0,8162289.067543096,1.0515,0.014900000000000002,8162289.067543096,121618.10710639214,121618.10710639214,0.0,679931.6082853851,12243.433601314644,408114.45337715483,8162.289067543096,7346.060160788787,65298.31254034477,24486.867202629288,16324.578135086193,0.05859630417128369,0.045758717833520965,0.0023565739684263446,0.0104810123693364,3.0806817624349305e-23,0.045758717833520965,0.0023565739684263446,0.0104810123693364,3.0806817624349305e-23,0.0,0.0,3.942100473152152e-22,1.0,8162289.067543096,8.391666666666666,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8718812.429430587,0.0,0.0,0.0,0.0,9167831.269546263,129910.30519851575,1000000.0,0.7,100000.0,403.9890180358795,0.040398901803587954,5.218206108668607e-19,0.0,8718812.429430587,1.0515,0.014900000000000002,8718812.429430587,129910.30519851577,129910.30519851577,0.0,726290.885856334,13078.218644145882,435940.62147152936,8718.812429430587,7846.931186487529,69750.4994354447,26156.437288291763,17437.624858861174,0.05696310319180088,0.04448332710977958,0.002290891346153647,0.010188884735867657,2.803657058085834e-23,0.04448332710977958,0.002290891346153647,0.010188884735867657,2.803657058085834e-23,0.0,0.0,3.5876142579884473e-22,1.0,8718812.429430587,9.220833333333333,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9260500.453183891,0.0,0.0,0.0,0.0,9737416.226522863,137981.45675244,1000000.0,0.7,100000.0,440.3169957083331,0.04403169957083332,5.218206108668607e-19,0.0,9260500.453183891,1.0515,0.014900000000000002,9260500.453183891,137981.45675244,137981.45675244,0.0,771414.3562617236,13890.750679775838,463025.0226591946,9260.500453183891,8334.450407865503,74084.00362547113,27781.501359551676,18521.000906367783,0.055510466051259276,0.043348941349984314,0.002232470479524191,0.009929054221750772,2.5723437270082718e-23,0.043348941349984314,0.002232470479524191,0.009929054221750772,2.5723437270082718e-23,0.0,0.0,3.2916212076817726e-22,1.0,9260500.453183891,10.049999999999999,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9788928.473361444,0.0,0.0,0.0,0.0,10293058.289739558,145855.03425308553,1000000.0,0.7,100000.0,476.6449733807868,0.04766449733807868,5.218206108668607e-19,0.0,9788928.473361444,1.0515,0.014900000000000002,9788928.473361444,145855.03425308553,145855.03425308553,0.0,815433.247365581,14683.392710042166,489446.4236680722,9788.928473361444,8810.0356260253,78311.42778689155,29366.785420084332,19577.856946722888,0.05420583054107427,0.04233013224537523,0.0021800018106368263,0.009695696485062221,2.3762899538659332e-23,0.04233013224537523,0.0021800018106368263,0.009695696485062221,2.3762899538659332e-23,0.0,0.0,3.0407469754609094e-22,1.0,9788928.473361444,10.879166666666665,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10305397.993093,0.0,0.0,0.0,0.0,10836125.98973729,153550.43009708571,1000000.0,0.7,100000.0,512.9729510532405,0.05129729510532406,5.218206108668607e-19,0.0,10305397.993093,1.0515,0.014900000000000002,10305397.993093,153550.43009708571,153550.43009708571,0.0,858455.9764401787,15458.096989639502,515269.8996546501,10305.397993093002,9274.8581937837,82443.18394474401,30916.193979279004,20610.795986186004,0.05302444953331621,0.041407574398896335,0.002132490081543165,0.00948438505287672,2.2080046510832565e-23,0.041407574398896335,0.002132490081543165,0.00948438505287672,2.2080046510832565e-23,0.0,0.0,2.8254058195474855e-22,1.0,10305397.993093,11.708333333333332,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,10811000.223306233,0.0,0.0,0.0,0.0,11367766.734806504,161083.90332726287,1000000.0,0.7,100000.0,549.3009287256942,0.05493009287256943,5.218206108668607e-19,0.0,10811000.223306233,1.0515,0.014900000000000002,10811000.223306233,161083.9033272629,161083.9033272629,0.0,900573.4430842557,16216.50033495935,540550.0111653117,10811.000223306233,9729.900200975611,86488.00178644987,32433.0006699187,21622.000446612466,0.05194711203919501,0.040566265666167015,0.002089162681807609,0.009291683691220404,2.0619784212508971e-23,0.040566265666167015,0.002089162681807609,0.009291683691220404,2.0619784212508971e-23,0.0,0.0,2.638547807553484e-22,1.0,10811000.223306233,12.5375,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,11306661.661884371,0.0,0.0,0.0,0.0,11888954.737471417,168469.25876207714,1000000.0,0.7,100000.0,585.6289063981479,0.0585628906398148,5.218206108668607e-19,0.0,11306661.661884371,1.0515,0.014900000000000002,11306661.661884371,168469.25876207714,168469.25876207714,0.0,941862.8260390456,16959.992492826557,565333.0830942186,11306.661661884371,10175.995495695935,90453.29329507497,33919.984985653115,22613.323323768742,0.05095863153182559,0.03979434666444233,0.002049408853218778,0.00911487601416448,1.9340689119526034e-23,0.03979434666444233,0.002049408853218778,0.00911487601416448,1.9340689119526034e-23,0.0,0.0,2.474872304528814e-22,1.0,11306661.661884371,13.366666666666665,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,11793177.587169994,0.0,0.0,0.0,0.0,12400526.23290925,175718.3460488329,1000000.0,0.7,100000.0,621.9568840706015,0.062195688407060155,5.218206108668607e-19,0.0,11793177.587169994,1.0515,0.014900000000000002,11793177.587169994,175718.34604883293,175718.34604883293,0.0,982390.3732501954,17689.76638075499,589658.8793584997,11793.177587169994,10613.859828452994,94345.42069735995,35379.53276150998,23586.355174339988,0.05004681275575939,0.039082293938943524,0.0020127381378555903,0.008951780678960276,1.8211015760328595e-23,0.039082293938943524,0.0020127381378555903,0.008951780678960276,1.8211015760328595e-23,0.0,0.0,2.3303170980124554e-22,1.0,11793177.587169994,14.195833333333331,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12271237.188021077,0.0,0.0,0.0,0.0,12903205.903204164,182841.43410151408,1000000.0,0.7,100000.0,658.2848617430552,0.06582848617430553,5.218206108668607e-19,0.0,12271237.188021077,1.0515,0.014900000000000002,12271237.188021077,182841.43410151405,182841.43410151405,0.0,1022213.4952412411,18406.855782031616,613561.8594010539,12271.237188021078,11044.11346921897,98169.89750416862,36813.71156406323,24542.474376042155,0.04920172710779937,0.03842235409705308,0.0019787512359982365,0.008800621774748047,1.7206026260521218e-23,0.03842235409705308,0.0019787512359982365,0.008800621774748047,1.7206026260521218e-23,0.0,0.0,2.2017166813445463e-22,1.0,12271237.188021077,15.024999999999999,default,TrampOilTankZO,tramp_oil_tank
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,12741442.764232451,0.0,0.0,0.0,0.0,13397627.066590423,189847.49718706353,1000000.0,0.7,100000.0,694.612839415509,0.0694612839415509,5.218206108668607e-19,0.0,12741442.764232451,1.0515,0.014900000000000002,12741442.764232451,189847.49718706353,189847.49718706353,0.0,1061382.3645391266,19112.164146348678,637072.1382116226,12741.442764232452,11467.298487809207,101931.54211385961,38224.328292697355,25482.885528464903,0.04841519287005512,0.03780813791464443,0.0019471191026041886,0.008659935852806507,1.6306157870023523e-23,0.03780813791464443,0.0019471191026041886,0.008659935852806507,1.6306157870023523e-23,0.0,0.0,2.0865677668668683e-22,1.0,12741442.764232451,15.854166666666666,default,TrampOilTankZO,tramp_oil_tank
