fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.constructed_wetlands.unit_capex[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ConstructedWetlandsZO],fs.costing.LCOW_aggregate_indirect_capex[ConstructedWetlandsZO],fs.costing.LCOW_aggregate_fixed_opex[ConstructedWetlandsZO],fs.costing.LCOW_aggregate_variable_opex[ConstructedWetlandsZO],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,469444720.75477844,0.0,0.0,493621123.8736496,6994726.3392461995,6.09,403.9890180358795,0.040398901803587954,343.39066533049754,0.03635901162322916,0.85,0.1,469444720.75477844,1.0515,0.0149,284511951.972593,6994726.339246199,6994726.339246199,0.0,39105488.83316608,704167.0811321677,23472236.037738923,469444.7207547785,422500.24867930065,3755557.766038228,1408334.1622643354,938889.441509557,3.0670493588020697,1.4515782199325622,1.0668737021949355,0.5485974366745718,0.0,1.4515782199325622,1.0668737021949355,0.5485974366745718,0.0,1.65,284511951.972593,9.220833333333333,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,511658683.443527,0.0,0.0,538009105.6408687,7623714.383308552,6.09,440.3169957083331,0.04403169957083332,374.26944635208315,0.03962852961374999,0.85,0.1,511658683.443527,1.0515,0.0149,310096171.78395575,7623714.383308552,7623714.383308552,0.0,42621978.791503176,767488.0251652905,25582934.17217635,511658.68344352697,460492.81509917433,4093269.4675482158,1534976.050330581,1023317.3668870539,3.067049358802069,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.65,310096171.78395575,10.049999999999999,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,553872646.1322757,0.0,0.0,582397087.408088,8252702.42737091,6.09,476.6449733807868,0.04766449733807868,405.14822737366876,0.042898047604270816,0.85,0.1,553872646.1322757,1.0515,0.0149,335680391.5953186,8252702.427370908,8252702.427370908,0.0,46138468.749840304,830808.9691984135,27693632.306613788,553872.6461322757,498485.3815190482,4430981.169058206,1661617.938396827,1107745.2922645514,3.0670493588020693,1.4515782199325622,1.066873702194935,0.5485974366745717,0.0,1.4515782199325622,1.066873702194935,0.5485974366745717,0.0,1.65,335680391.5953186,10.879166666666665,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,596086608.8210245,0.0,0.0,626785069.1753074,8881690.471433267,6.09,512.9729510532405,0.05129729510532406,436.0270083952544,0.046167565594791654,0.85,0.1,596086608.8210245,1.0515,0.0149,361264611.40668154,8881690.471433265,8881690.471433265,0.0,49654958.70817743,894129.9132315369,29804330.44105123,596086.6088210245,536477.9479389221,4768692.870568196,1788259.8264630737,1192173.217642049,3.0670493588020697,1.4515782199325624,1.0668737021949353,0.5485974366745718,0.0,1.4515782199325624,1.0668737021949353,0.5485974366745718,0.0,1.65,361264611.40668154,11.708333333333332,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,638300571.5097734,0.0,0.0,671173050.9425268,9510678.515495624,6.09,549.3009287256942,0.05493009287256943,466.9057894168401,0.04943708358531248,0.85,0.1,638300571.5097734,1.0515,0.0149,386848831.2180445,9510678.515495623,9510678.515495623,0.0,53171448.66651456,957450.8572646601,31915028.57548867,638300.5715097734,574470.5143587961,5106404.572078187,1914901.7145293201,1276601.1430195468,3.0670493588020693,1.4515782199325624,1.0668737021949353,0.5485974366745718,0.0,1.4515782199325624,1.0668737021949353,0.5485974366745718,0.0,1.65,386848831.2180445,12.5375,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,680514534.1985219,0.0,0.0,715561032.7097458,10139666.559557978,6.09,585.6289063981479,0.0585628906398148,497.7845704384257,0.052706601575833324,0.85,0.1,680514534.1985219,1.0515,0.0149,412433051.0294072,10139666.559557976,10139666.559557976,0.0,56687938.62485166,1020771.8012977828,34025726.70992609,680514.5341985219,612463.0807786697,5444116.273588175,2041543.6025955656,1361029.0683970437,3.067049358802069,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.65,412433051.0294072,13.366666666666665,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,722728496.8872705,0.0,0.0,759949014.476965,10768654.60362033,6.09,621.9568840706015,0.062195688407060155,528.6633514600113,0.05597611956635414,0.85,0.1,722728496.8872705,1.0515,0.0149,438017270.84077,10768654.60362033,10768654.60362033,0.0,60204428.58318877,1084092.7453309058,36136424.844363526,722728.4968872705,650455.6471985434,5781827.975098164,2168185.4906618115,1445456.993774541,3.067049358802069,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.4515782199325622,1.0668737021949348,0.5485974366745717,0.0,1.65,438017270.84077,14.195833333333331,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,764942459.5760192,0.0,0.0,804336996.2441843,11397642.647682687,6.09,658.2848617430552,0.06582848617430553,559.5421324815969,0.05924563755687499,0.85,0.1,764942459.5760192,1.0515,0.0149,463601490.65213287,11397642.647682685,11397642.647682685,0.0,63720918.5415259,1147413.6893640289,38247122.97880096,764942.4595760192,688448.2136184173,6119539.676608154,2294827.3787280577,1529884.9191520384,3.067049358802069,1.4515782199325622,1.066873702194935,0.5485974366745717,0.0,1.4515782199325622,1.066873702194935,0.5485974366745717,0.0,1.65,463601490.65213287,15.024999999999999,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,807156422.264768,0.0,0.0,848724978.0114037,12026630.691745045,6.09,694.612839415509,0.0694612839415509,590.4209135031826,0.06251515554739581,0.85,0.1,807156422.264768,1.0515,0.0149,489185710.4634958,12026630.691745043,12026630.691745043,0.0,67237408.49986303,1210734.633397152,40357821.1132384,807156.422264768,726440.7800382912,6457251.378118144,2421469.266794304,1614312.844529536,3.067049358802069,1.4515782199325622,1.066873702194935,0.5485974366745717,0.0,1.4515782199325622,1.066873702194935,0.5485974366745717,0.0,1.65,489185710.4634958,15.854166666666666,default,ConstructedWetlandsZO,constructed_wetlands
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,849370384.9535166,0.0,0.0,893112959.7786227,12655618.735807398,6.09,730.9408170879626,0.07309408170879628,621.2996945247683,0.06578467353791666,0.85,0.1,849370384.9535166,1.0515,0.0149,514769930.2748586,12655618.735807398,12655618.735807398,0.0,70753898.45820014,1274055.577430275,42468519.247675836,849370.3849535167,764433.346458165,6794963.079628133,2548111.15486055,1698740.7699070333,3.0670493588020693,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.4515782199325622,1.066873702194935,0.5485974366745718,0.0,1.65,514769930.2748586,16.683333333333334,default,ConstructedWetlandsZO,constructed_wetlands
