fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.media_filtration.capital_a_parameter[default],fs.costing.media_filtration.capital_b_parameter[default],fs.costing.media_filtration.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[MediaFiltrationZO],fs.costing.LCOW_aggregate_indirect_capex[MediaFiltrationZO],fs.costing.LCOW_aggregate_fixed_opex[MediaFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[MediaFiltrationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,validity_range_units,validity_range_lb,validity_range_ub
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,260588.57119295967,0.0,0.0,0.002366118953236499,1.6209036089624937,274008.8826093971,3884.390614384062,725570.0,0.5862,1.0,4.381263638888887,0.0004381263638888888,4.380825512524998,0.00039431372749999994,0.000438126363889229,4.3812636388888886e-05,0.9999,0.1,0.002366118953236499,0.00015,260588.57119295967,1.0515,0.014900000000000002,260588.57119295967,3882.7697107750996,3882.7697107750996,1.6209036089624937,21709.061652868382,390.88285678943953,13029.428559647984,260.5885711929597,234.52971407366374,2084.7085695436776,781.7657135788791,521.1771423859194,0.15699805437958106,0.12259294127740356,0.006313536475786304,0.028079854391823315,1.172223456790123e-05,0.12259294127740356,0.006313536475786304,0.028079854391823315,1.172223456790123e-05,1.1722234567901231e-05,0.00015,0.00015,1.0,260588.57119295967,0.1,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1196107.0587478043,0.0,0.0,0.03184401757897455,21.814661070620232,1257706.5722733163,17843.809836412907,725570.0,0.5862,1.0,58.964506473379615,0.005896450647337962,58.95861002273228,0.005306805582604165,0.005896450647329919,0.0005896450647337963,0.9999,0.1,0.03184401757897455,0.00015,1196107.0587478043,1.0515,0.014900000000000002,1196107.0587478043,17821.995175342287,17821.995175342287,21.814661070620232,99659.42727268772,1794.1605881217065,59805.35293739021,1196.1070587478043,1076.4963528730239,9568.856469982435,3588.321176243413,2392.2141174956087,0.05355257088850677,0.04181083808564656,0.0021532581614108082,0.009576752406881495,1.1722234567901231e-05,0.04181083808564656,0.0021532581614108082,0.009576752406881495,1.1722234567901231e-05,1.1722234567901233e-05,0.00015,0.00015,1.0,1196107.0587478043,1.3458333333333334,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1756286.8850025623,0.0,0.0,0.061321916204712605,42.00841853227797,1846735.6595801944,26210.68300507046,725570.0,0.5862,1.0,113.54774930787035,0.011354774930787036,113.53639453293955,0.01021929743770833,0.011354774930771548,0.0011354774930787037,0.9999,0.1,0.061321916204712605,0.00015,1756286.8850025623,1.0515,0.014900000000000002,1756286.8850025623,26168.67458653818,26168.67458653818,42.00841853227797,146343.4878746832,2634.4303275038437,87814.34425012812,1756.2868850025623,1580.6581965023063,14050.295080020498,5268.8606550076875,3512.5737700051245,0.04083640261376966,0.031880594800910086,0.0016418506322468688,0.007302234946044803,1.1722234567901231e-05,0.031880594800910086,0.0016418506322468688,0.007302234946044803,1.1722234567901231e-05,1.1722234567901231e-05,0.00015,0.00015,1.0,1756286.8850025623,2.591666666666667,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2210673.116827382,0.0,0.0,0.09079981483045066,62.202175993935704,2324522.782343992,33001.23161672193,725570.0,0.5862,1.0,168.13099214236107,0.016813099214236106,168.11417904314683,0.015131789292812498,0.016813099214215515,0.001681309921423611,0.9999,0.1,0.09079981483045066,0.00015,2210673.116827382,1.0515,0.014900000000000002,2210673.116827382,32939.029440727994,32939.029440727994,62.202175993935704,184214.77448499599,3316.0096752410727,110533.6558413691,2210.673116827382,1989.6058051446437,17685.384934619055,6632.0193504821455,4421.346233654764,0.034715968740332774,0.0271010577534085,0.001395704474300541,0.006207484278055837,1.1722234567901233e-05,0.0271010577534085,0.001395704474300541,0.006207484278055837,1.1722234567901233e-05,1.1722234567901231e-05,0.00015,0.00015,1.0,2210673.116827382,3.8375,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2606751.7123760437,0.0,0.0,0.12027771345618872,82.39593345559345,2740999.42556341,38922.99644785865,725570.0,0.5862,1.0,222.71423497685177,0.02227142349768518,222.6919635533541,0.02004428114791666,0.0222714234976548,0.0022271423497685185,0.9999,0.1,0.12027771345618872,0.00015,2606751.7123760437,1.0515,0.014900000000000002,2606751.7123760437,38840.60051440306,38840.60051440306,82.39593345559345,217228.94263497216,3910.1275685640658,130337.58561880219,2606.7517123760435,2346.0765411384396,20854.01369900835,7820.2551371281315,5213.503424752087,0.030904542417456424,0.024124658744659678,0.001242419925349976,0.005525741512878873,1.1722234567901233e-05,0.024124658744659678,0.001242419925349976,0.005525741512878873,1.1722234567901233e-05,1.1722234567901233e-05,0.00015,0.00015,1.0,2606751.7123760437,5.083333333333333,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2964180.8813668573,0.0,0.0,0.14975561208192673,102.58969091725116,3116836.196757251,44268.88482328343,725570.0,0.5862,1.0,277.2974778113425,0.02772974778113425,277.2697480635614,0.02495677300302082,0.027729747781100378,0.002772974778113434,0.9999,0.1,0.14975561208192673,0.00015,2964180.8813668573,1.0515,0.014900000000000002,2964180.8813668573,44166.29513236618,44166.29513236618,102.58969091725116,247023.55233249388,4446.2713220502865,148209.04406834286,2964.180881366857,2667.762793230172,23713.447050934858,8892.542644100573,5928.361762733714,0.028225721301503526,0.02203272784039901,0.0011346854837805522,0.005046585742756062,1.1722234567901233e-05,0.02203272784039901,0.0011346854837805522,0.005046585742756062,1.1722234567901233e-05,1.1722234567901233e-05,0.00015,0.00015,1.0,2964180.8813668573,6.329166666666667,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3293437.8061491367,0.0,0.0,0.17923351070766483,122.78344837890893,3463049.8531658174,49195.00676000105,725570.0,0.5862,1.0,331.8807206458332,0.033188072064583324,331.8475325737686,0.02986926485812499,0.03318807206462213,0.0033188072064583426,0.9999,0.1,0.17923351070766483,0.00015,3293437.8061491367,1.0515,0.014900000000000002,3293437.8061491367,49072.22331162215,49072.22331162215,122.78344837890893,274471.3694629785,4940.156709223706,164671.89030745684,3293.437806149137,2964.0940255342234,26347.502449193096,9880.313418447411,6586.875612298274,0.026204002391993313,0.02045393773704112,0.001053377793457617,0.004684964626926675,1.1722234567901233e-05,0.02045393773704112,0.001053377793457617,0.004684964626926675,1.1722234567901233e-05,1.1722234567901233e-05,0.00015,0.00015,1.0,3293437.8061491367,7.574999999999999,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3600916.922016846,0.0,0.0,0.20871140933340285,142.97720584056663,3786364.143500714,53796.639343891584,725570.0,0.5862,1.0,386.4639634803239,0.038646396348032394,386.4253170839758,0.034781756713229146,0.038646396348062405,0.00386463963480324,0.9999,0.1,0.20871140933340285,0.00015,3600916.922016846,1.0515,0.014900000000000002,3600916.922016846,53653.66213805101,53653.66213805101,142.97720584056663,300105.0606151153,5401.375383025269,180045.84610084232,3600.916922016846,3240.8252298151615,28807.335376134768,10802.750766050538,7201.833844033692,0.024604634667902227,0.019204967901250855,0.0009890558469144207,0.004398888685169052,1.1722234567901233e-05,0.019204967901250855,0.0009890558469144207,0.004398888685169052,1.1722234567901233e-05,1.1722234567901231e-05,0.00015,0.00015,1.0,3600916.922016846,8.820833333333333,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3890872.1009158553,0.0,0.0,0.23818930795914084,163.17096330222435,4091252.014113022,58137.165266948476,725570.0,0.5862,1.0,441.0472063148146,0.04410472063148147,441.00310159418314,0.039694248568333305,0.04410472063142118,0.004410472063148148,0.9999,0.1,0.23818930795914084,0.00015,3890872.1009158553,1.0515,0.014900000000000002,3890872.1009158553,57973.99430364625,57973.99430364625,163.17096330222435,324278.98006007244,5836.308151373783,194543.60504579276,3890.8721009158553,3501.78489082427,31126.976807326842,11672.616302747567,7781.744201831711,0.02329626664434919,0.0181832440219229,0.0009364370671290278,0.004164863320729363,1.1722234567901231e-05,0.0181832440219229,0.0009364370671290278,0.004164863320729363,1.1722234567901231e-05,1.1722234567901231e-05,0.00015,0.00015,1.0,3890872.1009158553,10.066666666666666,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4166308.372182364,0.0,0.0,0.26766720658487897,183.36472076388213,4380873.253349757,62261.359466281116,725570.0,0.5862,1.0,495.6304491493054,0.04956304491493054,495.58088610439046,0.04460674042343748,0.04956304491486279,0.004956304491493055,0.9999,0.1,0.26766720658487897,0.00015,4166308.372182364,1.0515,0.014900000000000002,4166308.372182364,62077.99474551723,62077.99474551723,183.36472076388213,347243.45150148286,6249.462558273546,208315.4186091182,4166.308372182364,3749.677534964128,33330.46697745891,12498.925116547092,8332.616744364728,0.022198758701841785,0.017326183888668686,0.000892298470266438,0.0039685541083387555,1.1722234567901233e-05,0.017326183888668686,0.000892298470266438,0.0039685541083387555,1.1722234567901233e-05,1.1722234567901233e-05,0.00015,0.00015,1.0,4166308.372182364,11.3125,default,MediaFiltrationZO,media_filtration,Mgallons/day,0,30
