fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.co2_addition.capital_a_parameter[default],fs.costing.co2_addition.capital_b_parameter[default],fs.costing.co2_addition.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CO2AdditionZO],fs.costing.LCOW_aggregate_indirect_capex[CO2AdditionZO],fs.costing.LCOW_aggregate_fixed_opex[CO2AdditionZO],fs.costing.LCOW_aggregate_variable_opex[CO2AdditionZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2701744.7710335352,0.0,0.0,0.0,0.0,2840884.6267417623,40255.99708839968,464000.0,0.7,1.0,367.6610403634258,0.036766104036342576,3.7694835252461893e-23,0.0,2701744.7710335352,1.0515,0.014900000000000002,2701744.7710335352,40255.99708839968,40255.99708839968,0.0,225059.61895544716,4052.6171565503028,135087.23855167677,2701.7447710335355,2431.570293930182,21613.958168268284,8105.2343131006055,5403.489542067071,0.01939557115493207,0.015146287470694447,0.0007800338047407659,0.0034692498794968597,2.2253967950276583e-27,0.015146287470694447,0.0007800338047407659,0.0034692498794968597,2.2253967950276583e-27,0.0,0.0,2.847661146179525e-26,1.0,2701744.7710335352,8.391666666666666,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2885955.8508538343,0.0,0.0,0.0,0.0,3034582.577172807,43000.74217772213,464000.0,0.7,1.0,403.9890180358795,0.040398901803587954,5.218206108668607e-19,0.0,2885955.8508538343,1.0515,0.014900000000000002,2885955.8508538343,43000.74217772214,43000.74217772214,0.0,240404.69369241735,4328.933776280752,144297.79254269172,2885.9558508538344,2597.360265768451,23087.646806830675,8657.867552561504,5771.911701707669,0.018854976210321426,0.01472412890826434,0.0007582926387756148,0.0033725546632814725,2.803657058085834e-23,0.01472412890826434,0.0007582926387756148,0.0033725546632814725,2.803657058085834e-23,0.0,0.0,3.5876142579884473e-22,1.0,2885955.8508538343,9.220833333333333,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3065256.384514976,0.0,0.0,0.0,0.0,3223117.088317497,45672.32012927315,464000.0,0.7,1.0,440.3169957083331,0.04403169957083332,5.218206108668607e-19,0.0,3065256.384514976,1.0515,0.014900000000000002,3065256.384514976,45672.32012927315,45672.32012927315,0.0,255340.71215608885,4597.884576772464,153262.8192257488,3065.2563845149757,2758.7307460634784,24522.051076119806,9195.769153544928,6130.512769029951,0.01837414849567045,0.014348643456879279,0.0007389551380292844,0.003286549900761887,2.5723437270082718e-23,0.014348643456879279,0.0007389551380292844,0.003286549900761887,2.5723437270082718e-23,0.0,0.0,3.2916212076817726e-22,1.0,3065256.384514976,10.049999999999999,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3240167.812984152,0.0,0.0,0.0,0.0,3407036.4553528363,48278.50041346387,464000.0,0.7,1.0,476.6449733807868,0.04766449733807868,5.218206108668607e-19,0.0,3240167.812984152,1.0515,0.014900000000000002,3240167.812984152,48278.50041346387,48278.50041346387,0.0,269911.1112049845,4860.251719476229,162008.39064920763,3240.167812984152,2916.151031685737,25921.342503873217,9720.503438952457,6480.335625968304,0.0179423098118675,0.014011414261946159,0.0007215878344902281,0.0032093077154311134,2.3762899538659332e-23,0.014011414261946159,0.0007215878344902281,0.0032093077154311134,2.3762899538659332e-23,0.0,0.0,3.0407469754609094e-22,1.0,3240167.812984152,10.879166666666665,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3411120.938116848,0.0,0.0,0.0,0.0,3586793.6664298656,50825.70197794104,464000.0,0.7,1.0,512.9729510532405,0.05129729510532406,5.218206108668607e-19,0.0,3411120.938116848,1.0515,0.014900000000000002,3411120.938116848,50825.70197794104,50825.70197794104,0.0,284151.7773160506,5116.681407175272,170556.0469058424,3411.1209381168483,3070.0088443051636,27288.967504934786,10233.362814350545,6822.2418762336965,0.017551268777435056,0.013706044552900731,0.0007058612944743887,0.0031393629300599385,2.2080046510832565e-23,0.013706044552900731,0.0007058612944743887,0.0031393629300599385,2.2080046510832565e-23,0.0,0.0,2.8254058195474855e-22,1.0,3411120.938116848,11.708333333333332,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3578476.9543517255,0.0,0.0,0.0,0.0,3762768.517500839,53319.30661984071,464000.0,0.7,1.0,549.3009287256942,0.05493009287256943,5.218206108668607e-19,0.0,3578476.9543517255,1.0515,0.014900000000000002,3578476.9543517255,53319.30661984072,53319.30661984072,0.0,298092.7985581551,5367.715431527588,178923.8477175863,3578.4769543517255,3220.629258916553,28627.815634813804,10735.430863055177,7156.953908703451,0.0171946664913246,0.013427568570162663,0.0006915197813633785,0.003075578139798559,2.0619784212508971e-23,0.013427568570162663,0.0006915197813633785,0.003075578139798559,2.0619784212508971e-23,0.0,0.0,2.638547807553484e-22,1.0,3578476.9543517255,12.5375,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3742542.535563067,0.0,0.0,0.0,0.0,3935283.4761445653,55763.88377988971,464000.0,0.7,1.0,585.6289063981479,0.0585628906398148,5.218206108668607e-19,0.0,3742542.535563067,1.0515,0.014900000000000002,3742542.535563067,55763.88377988971,55763.88377988971,0.0,311759.721350793,5613.8138033446,187127.12677815335,3742.5425355630673,3368.2882820067607,29940.34028450454,11227.6276066892,7485.085071126135,0.01686747616273485,0.013172060818683471,0.0006783611321621994,0.0030170542118891763,1.9340689119526034e-23,0.013172060818683471,0.0006783611321621994,0.0030170542118891763,1.9340689119526034e-23,0.0,0.0,2.474872304528814e-22,1.0,3742542.535563067,13.366666666666665,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3903580.9215217046,0.0,0.0,0.0,0.0,4104615.3389800726,58163.3557306734,464000.0,0.7,1.0,621.9568840706015,0.062195688407060155,5.218206108668607e-19,0.0,3903580.9215217046,1.0515,0.014900000000000002,3903580.9215217046,58163.35573067341,58163.35573067341,0.0,325174.473983843,5855.3713822825575,195179.04607608524,3903.5809215217046,3513.2228293695343,31228.647372173637,11710.742764565115,7807.161843043409,0.016565661121637733,0.012936369003324174,0.0006662230036711952,0.002963069114642363,1.8211015760328595e-23,0.012936369003324174,0.0006662230036711952,0.002963069114642363,1.8211015760328595e-23,0.0,0.0,2.3303170980124554e-22,1.0,3903580.9215217046,14.195833333333331,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4061820.236026965,0.0,0.0,0.0,0.0,4271003.978182354,60521.12151680178,464000.0,0.7,1.0,658.2848617430552,0.06582848617430553,5.218206108668607e-19,0.0,4061820.236026965,1.0515,0.014900000000000002,4061820.236026965,60521.12151680179,60521.12151680179,0.0,338356.05953113415,6092.730354040447,203091.01180134827,4061.820236026965,3655.638212424269,32494.56188821572,12185.460708080895,8123.64047205393,0.016285934967423164,0.012717926725395777,0.0006549732263578845,0.002913035015669503,1.7206026260521218e-23,0.012717926725395777,0.0006549732263578845,0.002913035015669503,1.7206026260521218e-23,0.0,0.0,2.2017166813445463e-22,1.0,4061820.236026965,15.024999999999999,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4217459.842309897,0.0,0.0,0.0,0.0,4434659.024188857,62840.151650417465,464000.0,0.7,1.0,694.612839415509,0.0694612839415509,5.218206108668607e-19,0.0,4217459.842309897,1.0515,0.014900000000000002,4217459.842309897,62840.15165041747,62840.15165041747,0.0,351321.0852656015,6326.189763464846,210872.99211549485,4217.459842309897,3795.7138580789074,33739.678738479175,12652.379526929692,8434.919684619794,0.01602558952431525,0.012514619130507288,0.0006445028852211268,0.0028664675085868356,1.6306157870023523e-23,0.012514619130507288,0.0006445028852211268,0.0028664675085868356,1.6306157870023523e-23,0.0,0.0,2.0865677668668683e-22,1.0,4217459.842309897,15.854166666666666,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4370675.277044287,0.0,0.0,0.0,0.0,4595765.053812068,65123.06162795988,464000.0,0.7,1.0,730.9408170879626,0.07309408170879628,5.218206108668607e-19,0.0,4370675.277044287,1.0515,0.014900000000000002,4370675.277044287,65123.06162795988,65123.06162795988,0.0,364084.1736702194,6556.012915566431,218533.76385221435,4370.675277044287,3933.6077493398584,34965.4022163543,13112.025831132862,8741.350554088574,0.015782368968190897,0.012324684612342564,0.0006347212575356429,0.0028229630983126882,1.5495736936922955e-23,0.012324684612342564,0.0006347212575356429,0.0028229630983126882,1.5495736936922955e-23,0.0,0.0,1.9828647235086e-22,1.0,4370675.277044287,16.683333333333334,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4521622.135546981,0.0,0.0,0.0,0.0,4754485.675527651,67372.16981965002,464000.0,0.7,1.0,767.2687947604164,0.07672687947604165,5.218206108668607e-19,0.0,4521622.135546981,1.0515,0.014900000000000002,4521622.135546981,67372.16981965004,67372.16981965004,0.0,376658.28608134185,6782.433203320472,226081.10677734908,4521.622135546982,4069.4599219922834,36172.97708437585,13564.866406640944,9043.244271093963,0.015554376103896057,0.012146641623234792,0.0006255520435965924,0.002782182437064676,1.476205821923376e-23,0.012146641623234792,0.0006255520435965924,0.002782182437064676,1.476205821923376e-23,0.0,0.0,1.8889817637231582e-22,1.0,4521622.135546981,17.5125,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4670439.1700957045,0.0,0.0,0.0,0.0,4910966.787355634,69589.543634426,464000.0,0.7,1.0,803.5967724328701,0.08035967724328703,5.218206108668607e-19,0.0,4670439.1700957045,1.0515,0.014900000000000002,4670439.1700957045,69589.54363442601,69589.54363442601,0.0,389054.98078348546,7005.658755143557,233521.95850478523,4670.439170095705,4203.395253086134,37363.51336076564,14011.317510287114,9340.87834019141,0.015340001479429042,0.011979233318387118,0.0006169305158969364,0.002743837645144987,1.4094713924452406e-23,0.011979233318387118,0.0006169305158969364,0.002743837645144987,1.4094713924452406e-23,0.0,0.0,1.8035870860809705e-22,1.0,4670439.1700957045,18.34166666666667,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4817250.789014759,0.0,0.0,0.0,0.0,5065339.204649019,71777.0367563199,464000.0,0.7,1.0,839.9247501053239,0.08399247501053239,5.218206108668607e-19,0.0,4817250.789014759,1.0515,0.014900000000000002,4817250.789014759,71777.03675631991,71777.03675631991,0.0,401284.62118712533,7225.876183522138,240862.53945073794,4817.250789014759,4335.525710113283,38538.00631211807,14451.752367044275,9634.501578029518,0.01513786901257266,0.011821385094908075,0.0006088013323877673,0.0027076825852768178,1.3485096869254402e-23,0.011821385094908075,0.0006088013323877673,0.0027076825852768178,1.3485096869254402e-23,0.0,0.0,1.7255792986151776e-22,1.0,4817250.789014759,19.170833333333334,default,CO2AdditionZO,co2_addition
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4962169.0932630645,0.0,0.0,0.0,0.0,5217720.801566113,73936.31948961967,464000.0,0.7,1.0,876.2527277777775,0.08762527277777776,5.218206108668607e-19,0.0,4962169.0932630645,1.0515,0.014900000000000002,4962169.0932630645,73936.31948961967,73936.31948961967,0.0,413356.54547970626,7443.253639894597,248108.45466315324,4962.1690932630645,4465.952183936758,39697.352746104516,14886.507279789193,9924.338186526129,0.014946793749789748,0.0116721716051103,0.0006011168376631823,0.0026735053070162658,1.2926027228216561e-23,0.0116721716051103,0.0006011168376631823,0.0026735053070162658,1.2926027228216561e-23,0.0,0.0,1.65403965686009e-22,1.0,4962169.0932630645,20.0,default,CO2AdditionZO,co2_addition
