fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.filter_press.capital_a_parameter[default],fs.costing.filter_press.capital_b_parameter[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tss],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tss],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tss],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tss]",fs.unit.hours_per_day_operation,fs.unit.cycle_time,fs.unit.electricity_a_parameter,fs.unit.electricity_b_parameter,fs.unit.filter_press_capacity,fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[FilterPressZO],fs.costing.LCOW_aggregate_indirect_capex[FilterPressZO],fs.costing.LCOW_aggregate_fixed_opex[FilterPressZO],fs.costing.LCOW_aggregate_variable_opex[FilterPressZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.properties_in[0.0].flow_vol,fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.properties_in[0.0].dens_mass,flow_mgd,hrs_per_day,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3900523.049415411,0.0,0.0,87.61816344004244,60022.59401893863,4101399.9864603053,118140.38745522825,61672.135,0.488,2.1906318194444436,0.0002190631819444444,0.00021906318194444437,4.381263638888892e-06,2.1904127562624995,0.0002146819183055555,0.0001,0.98,3.0,3.0,0.0018963,1.2195,6684.696180555555,87.61816344004244,3900523.049415411,1.0515,0.0149,3900523.049415411,58117.79343628963,58117.79343628963,60022.59401893863,384942.34241269797,5850.784574123117,195026.15247077055,3900.523049415411,3510.47074447387,31204.18439532329,11701.569148246233,7801.046098830822,5.567739386757591,3.6699736366723776,0.18900364228862787,0.840605700995489,0.8681564068010966,3.6699736366723776,0.18900364228862787,0.840605700995489,0.8681564068010966,0.8681564068010966,11.109098718835815,11.109098718835815,0.002190850882626388,1.0,3900523.049415411,1000.0,0.05,3,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3900523.049415411,0.0,0.0,37.62600128581105,25775.593907303723,4101399.9864603053,83893.38734359335,61672.135,0.488,2.1906318194444436,0.0002190631819444444,0.00021906318194444437,4.381263638888892e-06,2.1904127562624995,0.0002146819183055555,0.0001,0.98,6.0,3.0,0.0018963,1.2195,3342.3480902777774,37.62600128581105,3900523.049415411,1.0515,0.0149,3900523.049415411,58117.79343628963,58117.79343628963,25775.593907303723,350695.34230106306,5850.784574123117,195026.15247077055,3900.523049415411,3510.47074447387,31204.18439532329,11701.569148246233,7801.046098830822,5.07239670711178,3.6699736366723776,0.18900364228862787,0.840605700995489,0.3728137271552852,3.6699736366723776,0.18900364228862787,0.840605700995489,0.3728137271552852,0.37281372715528516,4.7705971715003095,4.7705971715003095,0.002190850882626388,1.0,3900523.049415411,1000.0,0.05,6,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3900523.049415411,0.0,0.0,16.157791001047823,11068.852523511463,4101399.9864603053,69186.6459598011,61672.135,0.488,2.1906318194444436,0.0002190631819444444,0.00021906318194444437,4.381263638888892e-06,2.1904127562624995,0.0002146819183055555,0.0001,0.98,12.0,3.0,0.0018963,1.2195,1671.1740451388887,16.157791001047823,3900523.049415411,1.0515,0.0149,3900523.049415411,58117.79343628963,58117.79343628963,11068.852523511463,335988.6009172708,5850.784574123117,195026.15247077055,3900.523049415411,3510.47074447387,31204.18439532329,11701.569148246233,7801.046098830822,4.859680946252169,3.6699736366723776,0.18900364228862787,0.840605700995489,0.160097966295674,3.6699736366723776,0.18900364228862787,0.840605700995489,0.160097966295674,0.16009796629567402,2.0486448044735495,2.0486448044735495,0.002190850882626388,1.0,3900523.049415411,1000.0,0.05,12,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3900523.049415411,0.0,0.0,6.938664782643124,4753.31418658521,4101399.9864603053,62871.107622874835,61672.135,0.488,2.1906318194444436,0.0002190631819444444,0.00021906318194444437,4.381263638888892e-06,2.1904127562624995,0.0002146819183055555,0.0001,0.98,24.0,3.0,0.0018963,1.2195,835.5870225694443,6.938664782643124,3900523.049415411,1.0515,0.0149,3900523.049415411,58117.79343628963,58117.79343628963,4753.31418658521,329673.06258034456,5850.784574123117,195026.15247077055,3900.523049415411,3510.47074447387,31204.18439532329,11701.569148246233,7801.046098830822,4.76833409330092,3.6699736366723776,0.18900364228862787,0.840605700995489,0.06875111334442562,3.6699736366723776,0.18900364228862787,0.840605700995489,0.06875111334442562,0.06875111334442563,0.8797526565372458,0.8797526565372458,0.002190850882626388,1.0,3900523.049415411,1000.0,0.05,24,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6724251.557242709,0.0,0.0,341.70754440989526,234085.8608085161,7070550.512440709,334277.2090114324,61672.135,0.488,6.687191869883038,0.000668719186988304,0.0006687191869883039,1.3374383739766091e-05,6.68652315069605,0.0006553448032485379,0.0001,0.98,3.0,3.0,0.0018963,1.2195,20405.914656432746,341.70754440989526,6724251.557242709,1.0515,0.0149,6724251.557242709,100191.34820291637,100191.34820291637,234085.8608085161,794226.6666532855,10086.377335864065,336212.5778621355,6724.251557242709,6051.826401518439,53794.01245794167,20172.75467172813,13448.503114485418,3.7631652188270945,2.0725721376827315,0.10673746509066079,0.47472165392452415,1.1091339621291776,2.0725721376827315,0.10673746509066079,0.47472165392452415,1.1091339621291776,1.1091339621291778,14.192694520458126,14.192694520458126,0.006687860589070027,1.0,6724251.557242709,1000.0,0.15263157894736842,3,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6724251.557242709,0.0,0.0,146.73999089396835,100523.84749879605,7070550.512440709,200715.19570171245,61672.135,0.488,6.687191869883038,0.000668719186988304,0.0006687191869883039,1.3374383739766091e-05,6.68652315069605,0.0006553448032485379,0.0001,0.98,6.0,3.0,0.0018963,1.2195,10202.957328216373,146.73999089396835,6724251.557242709,1.0515,0.0149,6724251.557242709,100191.34820291637,100191.34820291637,100523.84749879605,660664.6533435655,10086.377335864065,336212.5778621355,6724.251557242709,6051.826401518439,53794.01245794167,20172.75467172813,13448.503114485418,3.13032834221908,2.0725721376827315,0.10673746509066079,0.47472165392452415,0.4762970855211633,2.0725721376827315,0.10673746509066079,0.47472165392452415,0.4762970855211633,0.4762970855211632,6.09479040999655,6.09479040999655,0.006687860589070027,1.0,6724251.557242709,1000.0,0.15263157894736842,6,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6724251.557242709,0.0,0.0,63.01477763608418,43168.108834335806,7070550.512440709,143359.45703725217,61672.135,0.488,6.687191869883038,0.000668719186988304,0.0006687191869883039,1.3374383739766091e-05,6.68652315069605,0.0006553448032485379,0.0001,0.98,12.0,3.0,0.0018963,1.2195,5101.478664108186,63.01477763608418,6724251.557242709,1.0515,0.0149,6724251.557242709,100191.34820291637,100191.34820291637,43168.108834335806,603308.9146791052,10086.377335864065,336212.5778621355,6724.251557242709,6051.826401518439,53794.01245794167,20172.75467172813,13448.503114485418,2.8585682390841187,2.0725721376827315,0.10673746509066079,0.47472165392452415,0.2045369823862022,2.0725721376827315,0.10673746509066079,0.47472165392452415,0.2045369823862022,0.2045369823862022,2.617295122377288,2.617295122377288,0.006687860589070027,1.0,6724251.557242709,1000.0,0.15263157894736842,12,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6724251.557242709,0.0,0.0,27.06053187228564,18537.746681008994,7070550.512440709,118729.09488392538,61672.135,0.488,6.687191869883038,0.000668719186988304,0.0006687191869883039,1.3374383739766091e-05,6.68652315069605,0.0006553448032485379,0.0001,0.98,24.0,3.0,0.0018963,1.2195,2550.739332054093,27.06053187228564,6724251.557242709,1.0515,0.0149,6724251.557242709,100191.34820291637,100191.34820291637,18537.746681008994,578678.5525257784,10086.377335864065,336212.5778621355,6724.251557242709,6051.826401518439,53794.01245794167,20172.75467172813,13448.503114485418,2.74186588436077,2.0725721376827315,0.10673746509066079,0.47472165392452415,0.08783462766285331,2.0725721376827315,0.10673746509066079,0.47472165392452415,0.08783462766285331,0.08783462766285331,1.1239490280722908,1.1239490280722908,0.006687860589070027,1.0,6724251.557242709,1000.0,0.15263157894736842,24,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8642426.558425244,0.0,0.0,639.7676252316638,438271.1406866946,9087511.526184145,567043.2964072307,61672.135,0.488,11.183751920321635,0.0011183751920321636,0.0011183751920321636,2.2367503840643294e-05,11.182633545129603,0.0010960076881915202,0.0001,0.98,3.0,3.0,0.0018963,1.2195,34127.133132309944,639.7676252316638,8642426.558425244,1.0515,0.0149,8642426.558425244,128772.15572053613,128772.15572053613,438271.1406866946,1158198.9624940637,12963.639837637866,432121.32792126224,8642.426558425244,7778.18390258272,69139.41246740195,25927.27967527573,17284.85311685049,3.281317481558118,1.5927868453489566,0.08202852253547172,0.36482706286821176,1.2416750508054777,1.5927868453489566,0.08202852253547172,0.36482706286821176,1.2416750508054777,1.241675050805478,15.888716143834035,15.888716143834035,0.011184870295513667,1.0,8642426.558425244,1000.0,0.25526315789473686,3,default,FilterPressZO,filter_press
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8642426.558425244,0.0,0.0,274.73638506540243,188207.4430183178,9087511.526184145,316979.59873885394,61672.135,0.488,11.183751920321635,0.0011183751920321636,0.0011183751920321636,2.2367503840643294e-05,11.182633545129603,0.0010960076881915202,0.0001,0.98,6.0,3.0,0.0018963,1.2195,17063.566566154972,274.73638506540243,8642426.558425244,1.0515,0.0149,8642426.558425244,128772.15572053613,128772.15572053613,188207.4430183178,908135.2648256869,12963.639837637866,432121.32792126224,8642.426558425244,7778.18390258272,69139.41246740195,25927.27967527573,17284.85311685049,2.5728568377190295,1.5927868453489566,0.08202852253547172,0.36482706286821176,0.5332144069663893,1.5927868453489566,0.08202852253547172,0.36482706286821176,0.5332144069663893,0.5332144069663893,6.823115557162796,6.823115557162796,0.011184870295513667,1.0,8642426.558425244,1000.0,0.25526315789473686,6,default,FilterPressZO,filter_press
