fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.intrusion_mitigation.capital_a_parameter[default],fs.costing.intrusion_mitigation.capital_b_parameter[default],fs.costing.intrusion_mitigation.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_indirect_capex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_fixed_opex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_variable_opex[IntrusionMitigationZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,30492541.897824824,0.0,0.0,81.16628559162613,55602.75195023015,32062907.805562805,509941.62622782006,44600000.0,1.0,4750.0,440.3169957083331,0.04403169957083332,81.16628559162613,0.051199332,30492541.897824824,1.0515,0.014900000000000002,30492541.897824824,454338.8742775899,454338.8742775899,55602.75195023015,2595679.7918262817,45738.81284673724,1524627.0948912413,30492.541897824824,27443.287708042342,243940.3351825986,91477.62569347447,60985.08379564965,0.186783398305368,0.142737362524105,0.007350974169991422,0.03269392441511257,0.004001137196159012,0.142737362524105,0.007350974169991422,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,30492541.897824824,10.049999999999999,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,33008303.02455249,0.0,0.0,87.86284066324042,60190.20951162975,34708230.63031695,552013.9245774619,44600000.0,1.0,4750.0,476.6449733807868,0.04766449733807868,87.86284066324042,0.051199332,33008303.02455249,1.0515,0.014900000000000002,33008303.02455249,491823.7150658322,491823.7150658322,60190.20951162975,2809834.136176792,49512.454536828736,1650415.1512276246,33008.30302455249,29707.472722097245,264066.42419641995,99024.90907365747,66016.60604910499,0.186783398305368,0.14273736252410496,0.007350974169991452,0.03269392441511257,0.004001137196159012,0.14273736252410496,0.007350974169991452,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,33008303.02455249,10.879166666666665,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,35524064.151280165,0.0,0.0,94.55939573485468,64777.66707302933,37353553.4550711,594086.2229271039,44600000.0,1.0,4750.0,512.9729510532405,0.05129729510532406,94.55939573485468,0.051199332,35524064.151280165,1.0515,0.014900000000000002,35524064.151280165,529308.5558540745,529308.5558540745,64777.66707302933,3023988.480527302,53286.09622692025,1776203.2075640084,35524.06415128017,31971.657736152152,284192.51321024133,106572.1924538405,71048.12830256033,0.186783398305368,0.14273736252410496,0.007350974169991435,0.032693924415112575,0.004001137196159012,0.14273736252410496,0.007350974169991435,0.032693924415112575,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,35524064.151280165,11.708333333333332,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,38039825.27800785,0.0,0.0,101.25595080646895,69365.12463442892,39998876.279825255,636158.521276746,44600000.0,1.0,4750.0,549.3009287256942,0.05493009287256943,101.25595080646895,0.051199332,38039825.27800785,1.0515,0.014900000000000002,38039825.27800785,566793.3966423171,566793.3966423171,69365.12463442892,3238142.824877813,57059.73791701178,1901991.2639003927,38039.82527800785,34235.84275020707,304318.6022240628,114119.47583402356,76079.6505560157,0.186783398305368,0.14273736252410502,0.007350974169991418,0.032693924415112575,0.004001137196159011,0.14273736252410502,0.007350974169991418,0.032693924415112575,0.004001137196159011,0.004001137196159011,0.051199332,0.051199332,1.0,38039825.27800785,12.5375,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,40555586.404735506,0.0,0.0,107.9525058780832,73952.58219582851,42644199.10457939,678230.8196263877,44600000.0,1.0,4750.0,585.6289063981479,0.0585628906398148,107.9525058780832,0.051199332,40555586.404735506,1.0515,0.014900000000000002,40555586.404735506,604278.2374305591,604278.2374305591,73952.58219582851,3452297.169228322,60833.37960710326,2027779.3202367753,40555.586404735506,36500.027764261955,324444.69123788405,121666.75921420653,81111.17280947101,0.186783398305368,0.142737362524105,0.007350974169991433,0.032693924415112575,0.004001137196159012,0.142737362524105,0.007350974169991433,0.032693924415112575,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,40555586.404735506,13.366666666666665,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,43071347.531463176,0.0,0.0,114.64906094969746,78540.03975722808,45289521.92933353,720303.1179760295,44600000.0,1.0,4750.0,621.9568840706015,0.062195688407060155,114.64906094969746,0.051199332,43071347.531463176,1.0515,0.014900000000000002,43071347.531463176,641763.0782188014,641763.0782188014,78540.03975722808,3666451.5135788317,64607.02129719476,2153567.376573159,43071.34753146318,38764.21277831686,344570.78025170544,129214.04259438952,86142.69506292636,0.186783398305368,0.142737362524105,0.007350974169991421,0.032693924415112575,0.004001137196159012,0.142737362524105,0.007350974169991421,0.032693924415112575,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,43071347.531463176,14.195833333333331,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,45587108.65819085,0.0,0.0,121.34561602131173,83127.49731862768,47934844.75408768,762375.4163256714,44600000.0,1.0,4750.0,658.2848617430552,0.06582848617430553,121.34561602131173,0.051199332,45587108.65819085,1.0515,0.014900000000000002,45587108.65819085,679247.9190070437,679247.9190070437,83127.49731862768,3880605.8579293415,68380.66298728627,2279355.432909542,45587.108658190846,41028.39779237177,364696.86926552677,136761.32597457254,91174.21731638169,0.18678339830536797,0.142737362524105,0.007350974169991409,0.03269392441511257,0.004001137196159012,0.142737362524105,0.007350974169991409,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,45587108.65819085,15.024999999999999,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,48102869.784918524,0.0,0.0,128.042171092926,87714.95488002726,50580167.578841835,804447.7146753133,44600000.0,1.0,4750.0,694.612839415509,0.0694612839415509,128.042171092926,0.051199332,48102869.784918524,1.0515,0.014900000000000002,48102869.784918524,716732.7597952861,716732.7597952861,87714.95488002726,4094760.2022798527,72154.30467737779,2405143.4892459265,48102.86978491853,43292.582806426675,384822.9582793482,144308.60935475558,96205.73956983705,0.186783398305368,0.142737362524105,0.00735097416999144,0.032693924415112575,0.004001137196159011,0.142737362524105,0.00735097416999144,0.032693924415112575,0.004001137196159011,0.004001137196159011,0.051199332,0.051199332,1.0,48102869.784918524,15.854166666666666,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,50618630.91164618,0.0,0.0,134.73872616454025,92302.41244142684,53225490.40359596,846520.013024955,44600000.0,1.0,4750.0,730.9408170879626,0.07309408170879628,134.73872616454025,0.051199332,50618630.91164618,1.0515,0.014900000000000002,50618630.91164618,754217.6005835282,754217.6005835282,92302.41244142684,4308914.546630361,75927.94636746927,2530931.5455823094,50618.63091164618,45556.76782048157,404949.0472931694,151855.89273493853,101237.26182329236,0.18678339830536797,0.142737362524105,0.00735097416999141,0.03269392441511257,0.004001137196159012,0.142737362524105,0.00735097416999141,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,50618630.91164618,16.683333333333334,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,53134392.03837386,0.0,0.0,141.43528123615454,96889.87000282644,55870813.22835012,888592.311374597,44600000.0,1.0,4750.0,767.2687947604164,0.07672687947604165,141.43528123615454,0.051199332,53134392.03837386,1.0515,0.014900000000000002,53134392.03837386,791702.4413717706,791702.4413717706,96889.87000282644,4523068.890980872,79701.58805756079,2656719.601918693,53134.39203837386,47820.952834536474,425075.13630699087,159403.17611512158,106268.78407674772,0.18678339830536797,0.14273736252410496,0.007350974169991418,0.03269392441511257,0.004001137196159011,0.14273736252410496,0.007350974169991418,0.03269392441511257,0.004001137196159011,0.004001137196159011,0.051199332,0.051199332,1.0,53134392.03837386,17.5125,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,55650153.165101536,0.0,0.0,148.13183630776882,101477.32756422604,58516136.053104274,930664.609724239,44600000.0,1.0,4750.0,803.5967724328701,0.08035967724328703,148.13183630776882,0.051199332,55650153.165101536,1.0515,0.014900000000000002,55650153.165101536,829187.282160013,829187.282160013,101477.32756422604,4737223.235331383,83475.22974765231,2782507.658255077,55650.15316510154,50085.13784859139,445201.2253208123,166950.45949530462,111300.30633020308,0.18678339830536797,0.14273736252410496,0.007350974169991427,0.03269392441511257,0.004001137196159012,0.14273736252410496,0.007350974169991427,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,55650153.165101536,18.34166666666667,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,58165914.291829206,0.0,0.0,154.82839137938308,106064.78512562563,61161458.877858415,972736.908073881,44600000.0,1.0,4750.0,839.9247501053239,0.08399247501053239,154.82839137938308,0.051199332,58165914.291829206,1.0515,0.014900000000000002,58165914.291829206,866672.1229482553,866672.1229482553,106064.78512562563,4951377.579681893,87248.87143774382,2908295.7145914603,58165.914291829205,52349.32286264629,465327.31433463364,174497.74287548763,116331.82858365841,0.186783398305368,0.142737362524105,0.007350974169991417,0.03269392441511257,0.004001137196159012,0.142737362524105,0.007350974169991417,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,58165914.291829206,19.170833333333334,default,IntrusionMitigationZO,intrusion_mitigation
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,60681675.41855688,0.0,0.0,161.52494645099736,110652.24268702522,63806781.702612564,1014809.2064235228,44600000.0,1.0,4750.0,876.2527277777775,0.08762527277777776,161.52494645099736,0.051199332,60681675.41855688,1.0515,0.014900000000000002,60681675.41855688,904156.9637364976,904156.9637364976,110652.24268702522,5165531.924032402,91022.51312783532,3034083.770927844,60681.67541855688,54613.507876701195,485453.40334845503,182045.02625567064,121363.35083711376,0.18678339830536794,0.14273736252410496,0.007350974169991425,0.03269392441511257,0.004001137196159012,0.14273736252410496,0.007350974169991425,0.03269392441511257,0.004001137196159012,0.004001137196159012,0.051199332,0.051199332,1.0,60681675.41855688,20.0,default,IntrusionMitigationZO,intrusion_mitigation
