fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.polymer_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.struvite_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.hrcs.SRT[default],fs.costing.hrcs.sizing_cost[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[cod],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[cod],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[cod],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,cod]","fs.unit.reaction_conversion[0.0,oxidation]","fs.unit.extent_of_reaction[0.0,oxidation]","fs.unit.generation_ratio[oxidation,H2O]","fs.unit.generation_ratio[oxidation,cod]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[HRCSZO],fs.costing.LCOW_aggregate_indirect_capex[HRCSZO],fs.costing.LCOW_aggregate_fixed_opex[HRCSZO],fs.costing.LCOW_aggregate_variable_opex[HRCSZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],"fs.unit.generation_rxn_comp[0.0,oxidation,H2O]","fs.unit.generation_rxn_comp[0.0,oxidation,cod]",fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2751.948677892412,0.0,0.0,1.1041888448436996,756.4216841824972,2893.6740348038716,797.4257194830941,2.3,34.35,4.381263638888887,0.0004381263638888888,4.381263638888887,0.00034611982747222224,6.4938987222657914e-18,3.7694877231919766e-20,1.0,0,0.21,9.200653641666663e-05,0,-1,1.1041888448436996,0.07,2751.948677892412,1.0515,0.0149,1667.8476835711588,41.00403530059694,41.00403530059694,756.4216841824972,985.6633681016201,4.127923016838618,137.5974338946206,2.751948677892412,2.476753810103171,22.015589423139296,8.255846033677235,5.503897355784824,0.007128232142854166,0.0007846328493826773,0.0005766855284750334,0.00029653763330921294,0.0054703761316872435,0.0007846328493826773,0.0005766855284750334,0.00029653763330921294,0.0054703761316872435,0.005470376131687243,0.07,0.07,0.0,-9.200653641666663e-05,1.65,1667.8476835711588,0.1,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,25570.189798750333,0.0,0.0,10.259754683339379,7028.418148862372,26887.054573385976,7409.4139768637515,2.3,34.35,40.70924131134258,0.004070924131134258,40.70924131134258,0.0032160300635960645,6.033914244956115e-17,3.502482310326465e-19,1.0,0,0.21,0.0008548940675381943,0,-1,10.259754683339379,0.07,25570.189798750333,1.0515,0.0149,15497.084726515353,380.99582800137995,380.99582800137995,7028.418148862372,9158.455461944222,38.3552846981255,1278.5094899375167,25.570189798750334,23.013170818875302,204.56151839000268,76.710569396251,51.14037959750067,0.007128232142854167,0.0007846328493826773,0.0005766855284750333,0.0002965376333092129,0.005470376131687243,0.0007846328493826773,0.0005766855284750333,0.0002965376333092129,0.005470376131687243,0.005470376131687243,0.07,0.07,0.0,-0.0008548940675381943,1.65,15497.084726515353,0.9291666666666666,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,48388.43091960799,0.0,0.0,19.41532052183495,13300.414613542174,50880.43511196781,14021.402234244333,2.3,34.35,77.03721898379627,0.007703721898379629,77.03721898379627,0.0060859402997290495,9.261260085008995e-14,9.175346283950532e-15,1.0,0,0.21,0.001617781598659722,0,-1,19.415320521835053,0.07,48388.43091960825,1.0515,0.0149,29326.321769459544,720.9876207021591,720.9876207021591,13300.414613542174,17331.247555786733,72.58264637941198,2419.4215459803995,48.38843091960799,43.549587827647194,387.10744735686393,145.16529275882397,96.77686183921598,0.0071282321428541295,0.0007846328493826773,0.0005766855284750335,0.00029653763330921294,0.005470376131687242,0.0007846328493826773,0.0005766855284750335,0.00029653763330921294,0.005470376131687242,0.005470376131687214,0.06999999999999963,0.07,0.0,-0.001617781598659722,1.65,29326.321769459544,1.7583333333333333,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,71206.67204046578,0.0,0.0,28.570886360330583,19572.411078222016,74873.81565054979,20633.39049162496,2.3,34.35,113.36519665624996,0.011336519665624998,113.36519665624996,0.008955850535857204,1.36285367593312e-13,1.3502109105055167e-14,1.0,0,0.21,0.0023806691297812493,0,-1,28.570886360330732,0.07,71206.67204046616,1.0515,0.0149,43155.55881240374,1060.97941340294,1060.97941340294,19572.411078222016,25504.039649629296,106.81000806069868,3560.333602023289,71.20667204046579,64.0860048364192,569.6533763237263,213.62001612139736,142.41334408093158,0.0071282321428541295,0.0007846328493826773,0.0005766855284750332,0.00029653763330921284,0.005470376131687243,0.0007846328493826773,0.0005766855284750332,0.00029653763330921284,0.005470376131687243,0.005470376131687214,0.06999999999999963,0.07,0.0,-0.0023806691297812493,1.65,43155.55881240374,2.5875,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,94024.91316132357,0.0,0.0,37.7264521988262,25844.40754290185,98867.19618913175,27245.37874900557,2.3,34.35,149.69317432870363,0.014969317432870366,149.69317432870363,0.011825760771985355,1.7995813212351747e-13,1.782887192512059e-14,1.0,0,0.21,0.0031435566609027766,0,-1,37.7264521988264,0.07,94024.91316132406,1.0515,0.0149,56984.79585534792,1400.9712061037212,1400.9712061037212,25844.40754290185,33676.83174347184,141.03736974198534,4701.245658066178,94.02491316132357,84.62242184519121,752.1993052905885,282.0747394839707,188.04982632264714,0.007128232142854129,0.0007846328493826773,0.0005766855284750332,0.0002965376333092129,0.005470376131687243,0.0007846328493826773,0.0005766855284750332,0.0002965376333092129,0.005470376131687243,0.005470376131687214,0.06999999999999963,0.07,0.0,-0.0031435566609027766,1.65,56984.79585534792,3.4166666666666665,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,116843.15428218138,0.0,0.0,46.88201803732184,32116.404007581696,122860.57672771373,33857.367006386194,2.3,34.35,186.02115200115733,0.018602115200115732,186.02115200115733,0.014695671008113507,2.2363090110483806e-13,2.215563474726443e-14,1.0,0,0.21,0.003906444192024304,0,-1,46.882018037322084,0.07,116843.15428218199,1.0515,0.0149,70814.03289829212,1740.9629988045026,1740.9629988045026,32116.404007581696,41849.6238373144,175.26473142327208,5842.157714109069,116.84315428218137,105.15883885396325,934.745234257451,350.52946284654416,233.68630856436275,0.007128232142854129,0.0007846328493826773,0.0005766855284750334,0.00029653763330921294,0.0054703761316872435,0.0007846328493826773,0.0005766855284750334,0.00029653763330921294,0.0054703761316872435,0.005470376131687215,0.06999999999999965,0.07,0.0,-0.003906444192024304,1.65,70814.03289829212,4.245833333333333,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,139661.39540303915,0.0,0.0,56.03758387581746,38388.40047226153,146853.95726629568,40469.35526376681,2.3,34.35,222.349129673611,0.022234912967361103,222.349129673611,0.017565581244241662,2.6730366634732373e-13,2.6482397570099696e-14,1.0,0,0.21,0.004669331723145832,0,-1,56.03758387581775,0.07,139661.39540303987,1.0515,0.0149,84643.26994123629,2080.954791505283,2080.954791505283,38388.40047226153,50022.41593115695,209.49209310455873,6983.0697701519575,139.66139540303914,125.69525586273524,1117.291163224313,418.98418620911747,279.3227908060783,0.007128232142854128,0.0007846328493826771,0.0005766855284750332,0.00029653763330921284,0.005470376131687243,0.0007846328493826771,0.0005766855284750332,0.00029653763330921284,0.005470376131687243,0.005470376131687214,0.06999999999999965,0.07,0.0,-0.004669331723145832,1.65,84643.26994123629,5.074999999999999,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,162479.63652389697,0.0,0.0,65.19314971431308,44660.39693694137,170847.33780487766,47081.34352114743,2.3,34.35,258.6771073460647,0.025867710734606475,258.6771073460647,0.020435491480369817,3.1097643371082886e-13,3.0809160389368594e-14,1.0,0,0.21,0.005432219254267359,0,-1,65.19314971431342,0.07,162479.63652389782,1.0515,0.0149,98472.5069841805,2420.946584206065,2420.946584206065,44660.39693694137,58195.208024999505,243.71945478584547,8123.981826194849,162.47963652389697,146.2316728715073,1299.8370921911758,487.43890957169094,324.95927304779394,0.007128232142854128,0.0007846328493826773,0.0005766855284750335,0.00029653763330921294,0.005470376131687242,0.0007846328493826773,0.0005766855284750335,0.00029653763330921294,0.005470376131687242,0.005470376131687214,0.06999999999999963,0.07,0.0,-0.005432219254267359,1.65,98472.5069841805,5.904166666666666,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,185297.8776447547,0.0,0.0,74.34871555280871,50932.3934016212,194840.7183434596,53693.33177852805,2.3,34.35,295.00508501851834,0.029500508501851843,295.00508501851834,0.023305401716497972,3.5464919692124517e-13,3.513592321035092e-14,1.0,0,0.21,0.0061951067853888864,0,-1,74.3487155528091,0.07,185297.87764475567,1.0515,0.0149,112301.74402712466,2760.9383769068454,2760.9383769068454,50932.3934016212,66368.00011884207,277.94681646713207,9264.893882237737,185.29787764475472,166.76808988027926,1482.3830211580378,555.8936329342641,370.59575528950944,0.00712823214285413,0.0007846328493826773,0.0005766855284750333,0.0002965376333092129,0.005470376131687243,0.0007846328493826773,0.0005766855284750333,0.0002965376333092129,0.005470376131687243,0.005470376131687214,0.06999999999999965,0.07,0.0,-0.0061951067853888864,1.65,112301.74402712466,6.7333333333333325,default,HRCSZO,hrcs
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,208116.11876561365,0.0,0.0,83.50428139130477,57204.389866301346,218834.09888204277,60305.32003590899,2.3,34.35,331.3330626909721,0.03313330626909721,331.3330626909721,0.026175311952587633,2.8506719824946076e-19,8.3918465941207805e-16,1.0,0,0.21,0.006957994316510413,0,-1,83.50428139130479,0.07,208116.11876561368,1.0515,0.0149,126130.9810700689,3100.930169607643,3100.930169607643,57204.389866301346,74540.79221268502,312.1741781484205,10405.805938280682,208.11611876561366,187.3045068890523,1664.9289501249093,624.348356296841,416.2322375312273,0.007128232142854165,0.0007846328493826774,0.0005766855284750335,0.00029653763330921294,0.005470376131687243,0.0007846328493826774,0.0005766855284750335,0.00029653763330921294,0.005470376131687243,0.005470376131687242,0.06999999999999999,0.07,0.0,-0.006957994316510413,1.65,126130.9810700689,7.562499999999999,default,HRCSZO,hrcs
