fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.cooling_supply.capital_a_parameter[default],fs.costing.cooling_supply.capital_b_parameter[default],fs.costing.cooling_supply.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[CoolingSupplyZO],fs.costing.LCOW_aggregate_indirect_capex[CoolingSupplyZO],fs.costing.LCOW_aggregate_fixed_opex[CoolingSupplyZO],fs.costing.LCOW_aggregate_variable_opex[CoolingSupplyZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,28351.051972546808,0.0,0.0,0.0,0.0,29811.131149132972,422.4306743909475,40299.0,0.8657,1.0,4.381263638888887,0.0004381263638888888,5.218206108982621e-17,0.0,28351.051972546957,1.0515,0.014900000000000002,8338.544697807929,422.4306743909475,422.4306743909475,0.0,2361.6875370083817,42.52657795882021,1417.5525986273406,28.35105197254681,25.51594677529213,226.80841578037447,85.05315591764042,56.70210394509362,0.017079519801070267,0.003922837888851322,0.010101699847581039,0.0030549820646379976,2.5852054457988823e-19,0.003922837888851322,0.010101699847581039,0.0030549820646379976,2.5852054457988823e-19,0.0,0.0,3.3080793139192497e-18,3.4,8338.544697807929,0.1,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,195275.53041159292,0.0,0.0,0.0,0.0,205332.22022778998,2909.605403132735,40299.0,0.8657,1.0,40.70924131134258,0.004070924131134258,5.218206108982621e-17,0.0,195275.53041159394,1.0515,0.014900000000000002,57433.979532821744,2909.605403132735,2909.605403132735,0.0,16266.760997169866,292.9132956173894,9763.776520579646,195.2755304115929,175.74797737043363,1562.2042432927433,585.8265912347788,390.5510608231858,0.012660786426485209,0.0029079396420359795,0.0074882353722068515,0.002264611412242443,2.782283887855299e-20,0.0029079396420359795,0.0074882353722068515,0.002264611412242443,2.782283887855299e-20,0.0,0.0,3.560264732469147e-19,3.4,57433.979532821744,0.9291666666666666,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,339198.00944854674,0.0,0.0,9.860761290552522e-32,6.755088767245367e-29,356666.7069351469,5054.050340783347,40299.0,0.8657,1.0,77.03721898379627,0.007703721898379629,3.7694835252461893e-23,0.0,339198.00944854674,1.0515,0.014900000000000002,99764.12042604316,5054.050340783347,5054.050340783347,6.755088767245367e-29,28255.73147227108,508.7970141728201,16959.900472427336,339.19800944854677,305.2782085036921,2713.584075588374,1017.5940283456403,678.3960188970935,0.011621403055502938,0.0026692132307421447,0.006873490990484099,0.0020786988342766963,1.0620732571530105e-26,0.0026692132307421447,0.006873490990484099,0.0020786988342766963,1.0620732571530105e-26,2.778325145002841e-35,3.5551990478982666e-34,1.3590496560202756e-25,3.4,99764.12042604316,1.7583333333333333,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,473914.1811127454,0.0,0.0,0.0,0.0,498320.7614400519,7061.321298579908,40299.0,0.8657,1.0,113.36519665624996,0.011336519665624998,3.7694835252461893e-23,0.0,473914.1811127454,1.0515,0.014900000000000002,139386.52385668983,7061.321298579907,7061.321298579907,0.0,39477.801960551435,710.8712716691182,23695.70905563727,473.91418111274544,426.52276300147093,3791.3134489019635,1421.7425433382364,947.8283622254909,0.011033818200189428,0.0025342562670695114,0.006525963313330701,0.001973598619789214,7.217309412537365e-27,0.0025342562670695114,0.006525963313330701,0.001973598619789214,7.217309412537365e-27,0.0,0.0,9.23540990081411e-26,3.4,139386.52385668983,2.5875,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,602849.5737651943,0.0,0.0,9.860761290552539e-32,6.755088767245379e-29,633896.3268141018,8982.458649101396,40299.0,0.8657,1.0,149.69317432870363,0.014969317432870366,3.7694835252461893e-23,0.0,602849.5737651943,1.0515,0.014900000000000002,177308.6981662336,8982.458649101396,8982.458649101396,6.755088767245379e-29,50218.32440047472,904.2743606477915,30142.478688259715,602.8495737651942,542.564616388675,4822.796590121554,1808.548721295583,1205.6991475303885,0.010629499736747972,0.0024413920761540923,0.006286828735304405,0.0019012789252894759,5.465791640470372e-27,0.0024413920761540923,0.006286828735304405,0.0019012789252894759,5.465791640470372e-27,1.429820989257562e-35,1.8296268270891115e-34,6.994133595616542e-26,3.4,177308.6981662336,3.4166666666666665,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,727606.7130035156,0.0,0.0,0.0,0.0,765078.4587231968,10841.340023752384,40299.0,0.8657,1.0,186.02115200115733,0.018602115200115732,3.7694835252461893e-23,0.0,727606.7130035156,1.0515,0.014900000000000002,214001.9744127987,10841.340023752384,10841.340023752384,0.0,60610.79171270247,1091.4100695052734,36380.33565017578,727.6067130035157,654.8460417031641,5820.853704028125,2182.820139010547,1455.2134260070313,0.01032381546295036,0.002371182265500978,0.006106031451891568,0.0018466017455578143,4.398379926580671e-27,0.002371182265500978,0.006106031451891568,0.0018466017455578143,4.398379926580671e-27,0.0,0.0,5.628252746227246e-26,3.4,214001.9744127987,4.245833333333333,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,849112.3619079767,0.0,0.0,9.860761290552495e-32,6.75508876724535e-29,892841.6485462376,12651.774192428855,40299.0,0.8657,1.0,222.349129673611,0.022234912967361103,3.7694835252461893e-23,0.0,849112.3619079767,1.0515,0.014900000000000002,249738.92997293433,12651.774192428855,12651.774192428855,6.75508876724535e-29,70732.40472980154,1273.668542861965,42455.61809539884,849.1123619079767,764.2011257171791,6792.898895263814,2547.33708572393,1698.2247238159534,0.010079421226480478,0.0023150496000743505,0.005961484225151461,0.0018028874012546686,3.679761202943928e-27,0.0023150496000743505,0.005961484225151461,0.0018028874012546686,3.679761202943928e-27,9.626052637037734e-36,1.2317684714392977e-34,4.7086942105135994e-26,3.4,249738.92997293433,5.074999999999999,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,967968.413022191,0.0,0.0,0.0,0.0,1017818.786292834,14422.72935403065,40299.0,0.8657,1.0,258.6771073460647,0.025867710734606475,3.7694835252461893e-23,0.0,967968.413022191,1.0515,0.014900000000000002,284696.5920653503,14422.729354030647,14422.729354030647,0.0,80633.30205404482,1451.9526195332867,48398.420651109554,967.968413022191,871.171571719972,7743.747304177528,2903.9052390665734,1935.936826044382,0.009876636152571137,0.002268473760677787,0.005841546781121369,0.0017666156107719814,3.1629845767012737e-27,0.002268473760677787,0.005841546781121369,0.0017666156107719814,3.1629845767012737e-27,0.0,0.0,4.0474167596369543e-26,3.4,284696.5920653503,5.904166666666666,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1084595.9750937668,0.0,0.0,-4.613865575925053e-31,-3.1607165620530194e-28,1140452.667811096,16160.480028897127,40299.0,0.8657,1.0,295.00508501851834,0.029500508501851843,3.7694835252461893e-23,0.0,1084595.9750937668,1.0515,0.014900000000000002,318998.81620404904,16160.480028897127,16160.480028897127,-3.1607165620530194e-28,90348.56271113886,1626.8939626406502,54229.798754688345,1084.5959750937668,976.1363775843902,8676.767800750134,3253.7879252813004,2169.1919501875336,0.009703856190106462,0.002228789519488039,0.005739355891633653,0.001735710778984771,2.7734833819218474e-27,0.002228789519488039,0.005739355891633653,0.001735710778984771,2.7734833819218474e-27,-3.3947567128335553e-35,-4.343996905842323e-34,3.549003433419285e-26,3.4,318998.81620404904,6.7333333333333325,default,CoolingSupplyZO,cooling_supply
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1199305.4416539588,0.0,0.0,0.0,0.0,1261069.6718991378,17869.651080643987,40299.0,0.8657,1.0,331.3330626909721,0.03313330626909721,3.7694835252461893e-23,0.0,1199305.4416539588,1.0515,0.014900000000000002,352736.8946041055,17869.651080643987,17869.651080643987,0.0,99904.04297389643,1798.9581624809382,59965.27208269794,1199.3054416539587,1079.374897488563,9594.44353323167,3597.9163249618764,2398.6108833079174,0.009553684488564152,0.0021942979619088547,0.005650536681711493,0.0017088498449438045,2.4693934684218756e-27,0.0021942979619088547,0.005650536681711493,0.0017088498449438045,2.4693934684218756e-27,0.0,0.0,3.1598840487082994e-26,3.4,352736.8946041055,7.562499999999999,default,CoolingSupplyZO,cooling_supply
