fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.primary_separator.capital_a_parameter[default],fs.costing.primary_separator.capital_b_parameter[default],fs.costing.primary_separator.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.properties_byproduct[0.0].flow_mass_comp[H2O],fs.unit.properties_byproduct[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_indirect_capex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_fixed_opex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_variable_opex[PrimarySeparatorZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,964031.8149879263,0.0,0.0,0.0,0.0,1013679.4534598046,14364.074043320103,603553.383,0.3182,5450.0,367.6610403634258,0.036766104036342576,367.29337932306237,0.03308949363270832,0.3676610403634338,0.0036766104036342583,0.999,0.1,3.7694835252461893e-23,0.0,964031.8149879263,1.0515,0.014900000000000002,584261.7060532887,14364.074043320103,14364.074043320103,0.0,80305.37720227081,1446.0477224818894,48201.59074939632,964.0318149879263,867.6286334891337,7712.25451990341,2892.095444963779,1928.0636299758526,0.006920693569460987,0.00327543735917594,0.002407364573060336,0.00123789163722471,2.2253967950276583e-27,0.00327543735917594,0.002407364573060336,0.00123789163722471,2.2253967950276583e-27,0.0,0.0,2.847661146179525e-26,1.65,584261.7060532887,8.391666666666666,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,993373.8665519668,0.0,0.0,0.0,0.0,1044532.6206793932,14801.270611624306,603553.383,0.3182,5450.0,403.9890180358795,0.040398901803587954,403.5850290178436,0.03635901162322916,0.4039890180358883,0.004039890180358796,0.999,0.1,3.7694835252461893e-23,0.0,993373.8665519668,1.0515,0.014900000000000002,602044.7676072526,14801.270611624306,14801.270611624306,0.0,82749.616574981,1490.0607998279502,49668.69332759834,993.3738665519668,894.0364798967702,7946.990932415734,2980.1215996559004,1986.7477331039336,0.0064900648484455875,0.0030716286821132668,0.0022575702906361987,0.0011608658756961218,2.0252820357820623e-27,0.0030716286821132668,0.0022575702906361987,0.0011608658756961218,2.0252820357820623e-27,0.0,0.0,2.591590396929762e-26,1.65,602044.7676072526,9.220833333333333,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1020967.9347636438,0.0,0.0,0.0,0.0,1073547.7834039717,15212.422227978293,603553.383,0.3182,5450.0,440.3169957083331,0.04403169957083332,439.87667871262477,0.03962852961374999,0.44031699570834265,0.004403169957083332,0.999,0.1,3.7694835252461893e-23,0.0,1020967.9347636438,1.0515,0.014900000000000002,618768.4453112993,15212.422227978293,15212.422227978293,0.0,85048.24616565657,1531.4519021454657,51048.39673818219,1020.9679347636438,918.8711412872794,8167.743478109151,3062.9038042909315,2041.9358695272877,0.006120015453661157,0.002896491089290793,0.0021288485383515,0.0010946758260188623,1.858187871138352e-27,0.002896491089290793,0.0021288485383515,0.0010946758260188623,1.858187871138352e-27,0.0,0.0,2.3777734446125888e-26,1.65,618768.4453112993,10.049999999999999,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1047050.4100103525,0.0,0.0,1.4895864413620027e-36,1.0204373010759365e-33,1100973.5061258858,15601.051109154254,603553.383,0.3182,5450.0,476.6449733807868,0.04766449733807868,476.16832840740597,0.042898047604270816,0.4766449733807971,0.0047664497338078685,0.999,0.1,3.7694835252461893e-23,0.0,1047050.4100103525,1.0515,0.014900000000000002,634576.0060668803,15601.051109154254,15601.051109154254,1.0204373010759365e-33,87220.9576680068,1570.5756150155287,52352.520500517625,1047.0504100103526,942.3453690093173,8376.40328008282,3141.1512300310574,2094.100820020705,0.005798003044708513,0.002744088520990998,0.0020168364607153597,0.0010370780630021554,1.7165642072714302e-27,0.002744088520990998,0.0020168364607153597,0.0010370780630021554,1.7165642072714302e-27,6.783345123419377e-41,8.680100731810211e-40,2.1965490419017863e-26,1.65,634576.0060668803,10.879166666666665,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1071810.4710657669,0.0,0.0,0.0,0.0,1127008.7103256541,15969.976018879928,603553.383,0.3182,5450.0,512.9729510532405,0.05129729510532406,512.4599781021873,0.046167565594791654,0.5129729510532517,0.005129729510532407,0.999,0.1,3.7694835252461893e-23,0.0,1071810.4710657669,1.0515,0.014900000000000002,649582.1036762224,15969.976018879928,15969.976018879928,0.0,89283.50997353543,1607.7157065986503,53590.523553288345,1071.810471065767,964.6294239591903,8574.483768526135,3215.4314131973006,2143.620942131534,0.005514795282083946,0.0026100514802235093,0.0019183225866772733,0.000986421215183162,1.5949996957956242e-27,0.0026100514802235093,0.0019183225866772733,0.000986421215183162,1.5949996957956242e-27,0.0,0.0,2.040992721852514e-26,1.65,649582.1036762224,11.708333333333332,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1095402.1391893625,0.0,0.0,-4.8603846081816915e-31,-3.329593781231254e-28,1151815.3493576148,16321.491873921503,603553.383,0.3182,5450.0,549.3009287256942,0.05493009287256943,548.7516277969686,0.04943708358531249,0.5493009287256203,0.005493009287256944,0.999,0.1,3.7694835252461893e-23,0.0,1095402.1391893625,1.0515,0.014900000000000002,663880.0843571895,16321.491873921503,16321.491873921503,-3.329593781231254e-28,91248.73329712446,1643.1032087840438,54770.10695946813,1095.4021391893625,985.8619252704264,8763.2171135149,3286.2064175680875,2190.804278378725,0.005263433214049235,0.002491086422739431,0.0018308862435529136,0.0009414605477568895,1.4895145048805925e-27,0.002491086422739431,0.0018308862435529136,0.0009414605477568895,1.4895145048805925e-27,-1.9205849620245233e-35,-2.457617979190277e-34,1.9060118140264417e-26,1.65,663880.0843571895,12.5375,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1117952.670767746,0.0,0.0,0.0,0.0,1175527.233312285,16657.494794439415,603553.383,0.3182,5450.0,585.6289063981479,0.0585628906398148,585.0432774917498,0.052706601575833324,0.5856289063980692,0.0058562890639814805,0.999,0.1,3.7694835252461893e-23,0.0,1117952.670767746,1.0515,0.014900000000000002,677547.0731925734,16657.494794439415,16657.494794439415,0.0,93127.22829735067,1676.929006151619,55897.6335383873,1117.952670767746,1006.1574036909715,8943.621366141968,3353.858012303238,2235.905341535492,0.005038563983188949,0.0023846599392813137,0.001752665438873284,0.0009012386050343509,1.397116317077838e-27,0.0023846599392813137,0.001752665438873284,0.0009012386050343509,1.397116317077838e-27,0.0,0.0,1.7877772906501134e-26,1.65,677547.0731925734,13.366666666666665,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1139568.556504226,0.0,0.0,2.465190322638115e-32,1.6887721918113312e-29,1198256.3371641939,16979.571491912968,603553.383,0.3182,5450.0,621.9568840706015,0.062195688407060155,621.3349271865309,0.05597611956635414,0.621956884070615,0.006219568840706017,0.999,0.1,3.7694835252461893e-23,0.0,1139568.556504226,1.0515,0.014900000000000002,690647.6100025612,16979.57149191297,16979.57149191297,1.6887721918113312e-29,94927.86581847952,1709.3528347563392,56978.42782521131,1139.568556504226,1025.6117008538035,9116.548452033809,3418.7056695126785,2279.137113008452,0.004835997232142413,0.002288788810550441,0.001682202556034311,0.0008650058655576606,1.315511929904815e-27,0.002288788810550441,0.001682202556034311,0.0008650058655576606,1.315511929904815e-27,8.60326688575867e-37,1.1008908117207657e-35,1.6833547250970252e-26,1.65,690647.6100025612,14.195833333333331,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1160339.9082443202,0.0,0.0,0.0,0.0,1220097.4135189028,17289.06463284037,603553.383,0.3182,5450.0,658.2848617430552,0.06582848617430553,657.6265768813122,0.05924563755687499,0.6582848617429665,0.006582848617430554,0.999,0.1,3.7694835252461893e-23,0.0,1160339.9082443202,1.0515,0.014900000000000002,703236.3080268608,17289.064632840375,17289.064632840375,0.0,96658.15231997863,1740.5098623664803,58016.99541221601,1160.3399082443202,1044.3059174198884,9282.719265954562,3481.0197247329606,2320.6798164886404,0.0046524019251666625,0.0022018965184120707,0.0016183388936199118,0.0008321665131346801,1.2429143497464516e-27,0.0022018965184120707,0.0016183388936199118,0.0008321665131346801,1.2429143497464516e-27,0.0,0.0,1.590457445481299e-26,1.65,703236.3080268608,15.024999999999999,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1180343.730950297,0.0,0.0,0.0,0.0,1241131.4330942375,17587.12159115943,603553.383,0.3182,5450.0,694.612839415509,0.0694612839415509,693.9182265760935,0.06251515554739581,0.6946128394155527,0.006946128394155091,0.999,0.1,3.7694835252461893e-23,0.0,1180343.730950297,1.0515,0.014900000000000002,715359.836939574,17587.12159115943,17587.12159115943,0.0,98324.50243717984,1770.5155964254457,59017.18654751486,1180.3437309502972,1062.3093578552675,9442.749847602377,3541.0311928508913,2360.6874619005944,0.004485094070142504,0.002122712778613517,0.0015601408244614698,0.000802240467067517,1.1779104192340878e-27,0.002122712778613517,0.0015601408244614698,0.000802240467067517,1.1779104192340878e-27,0.0,0.0,1.5072771480697932e-26,1.65,715359.836939574,15.854166666666666,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1199646.406055842,0.0,0.0,0.0,0.0,1261428.195967718,17874.731450232048,603553.383,0.3182,5450.0,730.9408170879626,0.07309408170879628,730.2098762708747,0.06578467353791666,0.7309408170879785,0.007309408170879628,0.999,0.1,3.7694835252461893e-23,0.0,1199646.406055842,1.0515,0.014900000000000002,727058.4279126315,17874.731450232048,17874.731450232048,0.0,99932.44584865645,1799.469609083763,59982.320302792104,1199.6464060558421,1079.681765450258,9597.171248446737,3598.939218167526,2399.2928121116843,0.004331884894578869,0.002050201685271067,0.0015068469836321031,0.000774836225675698,1.1193679183780482e-27,0.002050201685271067,0.0015068469836321031,0.000774836225675698,1.1193679183780482e-27,0.0,0.0,1.4323650220793116e-26,1.65,727058.4279126315,16.683333333333334,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1218305.6056384202,0.0,0.0,0.0,0.0,1281048.3443287988,18152.753524012463,603553.383,0.3182,5450.0,767.2687947604164,0.07672687947604165,766.501525965656,0.06905419152843749,0.7672687947604331,0.007672687947604165,0.999,0.1,3.7694835252461893e-23,0.0,1218305.6056384202,1.0515,0.014900000000000002,738367.0337202547,18152.753524012463,18152.753524012463,0.0,101486.78672981312,1827.4584084576304,60915.28028192101,1218.3056056384203,1096.4750450745782,9746.444845107362,3654.916816915261,2436.6112112768405,0.004190970194216036,0.001983509341592939,0.001457829778337271,0.0007496310742858262,1.0663690566704028e-27,0.001983509341592939,0.001457829778337271,0.0007496310742858262,1.0663690566704028e-27,0.0,0.0,1.3645466448740336e-26,1.65,738367.0337202547,17.5125,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1236371.788376853,0.0,0.0,0.0,0.0,1300044.935478261,18421.939646815114,603553.383,0.3182,5450.0,803.5967724328701,0.08035967724328703,802.7931756604372,0.07232370951895833,0.8035967724328876,0.008035967724328704,0.999,0.1,3.7694835252461893e-23,0.0,1236371.788376853,1.0515,0.014900000000000002,749316.235379911,18421.939646815114,18421.939646815114,0.0,102991.72836852154,1854.5576825652797,61818.58941884266,1236.3717883768531,1112.7346095391679,9890.974307014825,3709.1153651305594,2472.7435767537063,0.004060848321130497,0.001921925045153194,0.0014125668600614687,0.0007263564159158346,1.018162004812745e-27,0.001921925045153194,0.0014125668600614687,0.0007263564159158346,1.018162004812745e-27,0.0,0.0,1.3028599610189826e-26,1.65,749316.235379911,18.34166666666667,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1253889.3832626378,0.0,0.0,0.0,0.0,1318464.6865006636,18682.951810613304,603553.383,0.3182,5450.0,839.9247501053239,0.08399247501053239,839.0848253552186,0.07559322750947915,0.8399247501052107,0.00839924750105324,0.999,0.1,3.7694835252461893e-23,0.0,1253889.3832626378,1.0515,0.014900000000000002,759932.9595531138,18682.951810613304,18682.951810613304,0.0,104450.97177014842,1880.8340748939568,62694.46916313189,1253.8893832626377,1128.5004449363742,10031.115066101102,3761.6681497879135,2507.7787665252754,0.0039402584734367615,0.0018648520815392072,0.0013706196586292785,0.0007047867332682753,9.741250043872427e-28,0.0018648520815392072,0.0013706196586292785,0.0007047867332682753,9.741250043872427e-28,0.0,0.0,1.2465093563150539e-26,1.65,759932.9595531138,19.170833333333334,default,PrimarySeparatorZO,primary_separator
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,1270897.7367992064,0.0,0.0,0.0,0.0,1336348.9702443657,18936.376278308177,603553.383,0.3182,5450.0,876.2527277777775,0.08762527277777776,875.3764750499997,0.07886274549999998,0.8762527277777965,0.008762527277777777,0.999,0.1,3.7694835252461893e-23,0.0,1270897.7367992064,1.0515,0.014900000000000002,770241.0526055796,18936.376278308177,18936.376278308177,0.0,105867.79456075397,1906.3466051988096,63544.88683996032,1270.8977367992063,1143.807963119286,10167.18189439365,3812.693210397619,2541.7954735984126,0.0038281336230162337,0.0018117854459089268,0.0013316170081069131,0.0006847311690003933,9.337394052470214e-28,0.0018117854459089268,0.0013316170081069131,0.0006847311690003933,9.337394052470214e-28,0.0,0.0,1.1948311559178255e-26,1.65,770241.0526055796,20.0,default,PrimarySeparatorZO,primary_separator
