fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_costs[electricity],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.smp.capital_a_parameter[default],fs.costing.smp.capital_b_parameter[default],fs.costing.smp.reference_state[default],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[SMPZO],fs.costing.LCOW_aggregate_indirect_capex[SMPZO],fs.costing.LCOW_aggregate_fixed_opex[SMPZO],fs.costing.LCOW_aggregate_variable_opex[SMPZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,64835.366663307774,0.0,0.0,0.0,0.0,68174.38804646813,966.0469632832859,1000000.0,0.7,100000000.0,367.6610403634258,0.036766104036342576,5.218206108982621e-17,0.0,64835.36666330811,1.0515,0.014900000000000002,64835.36666330811,966.0469632832859,966.0469632832859,0.0,5400.88874142569,97.25304999496166,3241.768333165389,64.83536666330778,58.351829996977,518.6829333064622,194.5060999899233,129.67073332661556,0.000465446988537426,0.0003634744155994722,1.871893240337283e-05,8.325364053458343e-05,3.080681762620316e-21,0.0003634744155994722,1.871893240337283e-05,8.325364053458343e-05,3.080681762620316e-21,0.0,0.0,3.9421004733893745e-20,1.0,64835.36666330811,8.391666666666666,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,69255.98885961689,0.0,0.0,8.077920766362812e-28,5.533758522664532e-25,72822.67228588717,1031.9142340082917,1000000.0,0.7,100000000.0,403.9890180358795,0.040398901803587954,5.218206108982621e-17,0.0,69255.98885961725,1.0515,0.014900000000000002,69255.98885961725,1031.9142340082917,1031.9142340082917,5.533758522664532e-25,5769.133572585936,103.88398328942533,3462.7994429808446,69.25598885961689,62.33038997365521,554.0479108769351,207.76796657885066,138.51197771923378,0.0004524740120276006,0.00035334362697774,1.8197196789353627e-05,8.093318826050936e-05,2.8036570582545488e-21,0.00035334362697774,1.8197196789353627e-05,8.093318826050936e-05,2.8036570582545488e-21,4.340135115331742e-32,5.553721549664579e-31,3.587614258204338e-20,1.0,69255.98885961725,9.220833333333333,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,73558.76977640932,0.0,0.0,0.0,0.0,77347.0464198944,1096.025669668499,1000000.0,0.7,100000000.0,440.3169957083331,0.04403169957083332,5.218206108982621e-17,0.0,73558.7697764097,1.0515,0.014900000000000002,73558.7697764097,1096.025669668499,1096.025669668499,0.0,6127.562038503397,110.33815466461398,3677.938488820466,73.55876977640932,66.20289279876839,588.4701582112746,220.67630932922796,147.11753955281864,0.0004409353050721871,0.00034433288059699456,1.7733143350745277e-05,7.886928112444967e-05,2.572343727163067e-21,0.00034433288059699456,1.7733143350745277e-05,7.886928112444967e-05,2.572343727163067e-21,0.0,0.0,3.291621207879851e-20,1.0,73558.7697764097,10.049999999999999,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,77756.22274087412,0.0,0.0,0.0,0.0,81760.66821202915,1158.5677188390246,1000000.0,0.7,100000000.0,476.6449733807868,0.04766449733807868,5.218206108982621e-17,0.0,77756.22274087452,1.0515,0.014900000000000002,77756.22274087452,1158.5677188390246,1158.5677188390246,0.0,6477.216519153871,116.63433411131118,3887.811137043706,77.75622274087412,69.98060046678671,622.049781926993,233.26866822262235,155.51244548174824,0.00043057221685454853,0.00033624019222114294,1.7316369899388912e-05,7.701565473401896e-05,2.3762899540089304e-21,0.00033624019222114294,1.7316369899388912e-05,7.701565473401896e-05,2.3762899540089304e-21,0.0,0.0,3.040746975643891e-20,1.0,77756.22274087452,10.879166666666665,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,81858.68595984677,0.0,0.0,0.0,0.0,86074.40828677888,1219.694420801717,1000000.0,0.7,100000000.0,512.9729510532405,0.05129729510532406,5.218206108982621e-17,0.0,81858.6859598472,1.0515,0.014900000000000002,81858.6859598472,1219.6944208017171,1219.6944208017171,0.0,6818.958203542333,122.78802893977016,4092.9342979923385,81.85868595984677,73.6728173638621,654.8694876787741,245.57605787954031,163.71737191969353,0.0004211881739502562,0.0003289120547648969,1.6938970820392236e-05,7.533714836496929e-05,2.2080046512161272e-21,0.0003289120547648969,1.6938970820392236e-05,7.533714836496929e-05,2.2080046512161272e-21,0.0,0.0,2.825405819717509e-20,1.0,81858.6859598472,11.708333333333332,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,85874.82722982611,0.0,0.0,0.0,0.0,90297.38083216218,1279.5349257244093,1000000.0,0.7,100000000.0,549.3009287256942,0.05493009287256943,5.218206108982621e-17,0.0,85874.82722982657,1.0515,0.014900000000000002,85874.82722982657,1279.5349257244093,1279.5349257244093,0.0,7153.509132846817,128.81224084473916,4293.741361491306,85.87482722982611,77.28734450684351,686.9986178386089,257.62448168947833,171.74965445965222,0.0004126305780511806,0.00032222930195962684,1.6594809050920846e-05,7.380646704063501e-05,2.0619784213749805e-21,0.00032222930195962684,1.6594809050920846e-05,7.380646704063501e-05,2.0619784213749805e-21,0.0,0.0,2.638547807712263e-20,1.0,85874.82722982657,12.5375,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,89812.00598509281,0.0,0.0,0.0,0.0,94437.32429332509,1338.198889177883,1000000.0,0.7,100000000.0,585.6289063981479,0.0585628906398148,5.218206108982621e-17,0.0,89812.00598509327,1.0515,0.014900000000000002,89812.00598509327,1338.198889177883,1338.198889177883,0.0,7481.482359600145,134.71800897763922,4490.600299254641,89.81200598509281,80.83080538658353,718.4960478807425,269.43601795527843,179.62401197018562,0.00040477879828639934,0.0003160977313797258,1.6279033166055908e-05,7.240203374061969e-05,1.934068912068989e-21,0.0003160977313797258,1.6279033166055908e-05,7.240203374061969e-05,1.934068912068989e-21,0.0,0.0,2.474872304677743e-20,1.0,89812.00598509327,13.366666666666665,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,93676.53934606655,0.0,0.0,0.0,0.0,98500.88112238901,1395.780436256392,1000000.0,0.7,100000000.0,621.9568840706015,0.062195688407060155,5.218206108982621e-17,0.0,93676.53934606705,1.0515,0.014900000000000002,93676.53934606705,1395.7804362563918,1395.7804362563918,0.0,7803.40410993952,140.51480901909983,4683.826967303327,93.67653934606655,84.3088854114599,749.4123147685324,281.02961803819966,187.3530786921331,0.00039753596429858816,0.00031044169553496497,1.598774732005074e-05,7.110652144357448e-05,1.8211015761424472e-21,0.00031044169553496497,1.598774732005074e-05,7.110652144357448e-05,1.8211015761424472e-21,0.0,0.0,2.3303170981526858e-20,1.0,93676.53934606705,14.195833333333331,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,97473.90173443689,0.0,0.0,0.0,0.0,102493.8076737604,1452.3611358431099,1000000.0,0.7,100000000.0,658.2848617430552,0.06582848617430553,5.218206108982621e-17,0.0,97473.9017344374,1.0515,0.014900000000000002,97473.9017344374,1452.3611358431099,1452.3611358431099,0.0,8119.730411863086,146.21085260165535,4873.695086721845,97.4739017344369,87.72651156099322,779.7912138754951,292.4217052033107,194.9478034688738,0.000390823210389239,0.00030519960703863445,1.5717779762489718e-05,6.990582358811691e-05,1.720602626155662e-21,0.00030519960703863445,1.5717779762489718e-05,6.990582358811691e-05,1.720602626155662e-21,0.0,0.0,2.2017166814770383e-20,1.0,97473.9017344374,15.024999999999999,default,SMPZO,smp
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,101208.87738753183,0.0,0.0,0.0,0.0,106421.13457298973,1508.0122730742244,1000000.0,0.7,100000000.0,694.612839415509,0.0694612839415509,5.218206108982621e-17,0.0,101208.87738753235,1.0515,0.014900000000000002,101208.87738753235,1508.0122730742244,1508.0122730742244,0.0,8430.859799918442,151.81331608129776,5060.4438693765915,101.20887738753183,91.08798964877866,809.6710191002546,303.6266321625955,202.41775477506366,0.0003845755468630632,0.0003003207144795169,1.5466516795695153e-05,6.87883155878531e-05,1.6306157871004773e-21,0.0003003207144795169,1.5466516795695153e-05,6.87883155878531e-05,1.6306157871004773e-21,0.0,0.0,2.0865677669924307e-20,1.0,101208.87738753235,15.854166666666666,default,SMPZO,smp
