# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed
7.000000e+01,2.000000e-01,1.676691e+00,3.353381e-01,7.726055e+00,1.545211e+00
7.000000e+01,2.500000e-01,1.431167e+00,3.577917e-01,6.902109e+00,1.725527e+00
7.000000e+01,3.000000e-01,1.666122e+00,4.998365e-01,7.045656e+00,2.113697e+00
7.000000e+01,3.500000e-01,1.667604e+00,5.836612e-01,6.850237e+00,2.397583e+00
7.000000e+01,4.000000e-01,1.636395e+00,6.545582e-01,6.780734e+00,2.712293e+00
7.000000e+01,4.500000e-01,1.655252e+00,7.448633e-01,7.056736e+00,3.175531e+00
7.000000e+01,5.000000e-01,1.742381e+00,8.711904e-01,7.610774e+00,3.805387e+00
7.000000e+01,5.500000e-01,1.885350e+00,1.036943e+00,8.378659e+00,4.608262e+00
7.000000e+01,6.000000e-01,2.140060e+00,1.284036e+00,9.502108e+00,5.701265e+00
7.000000e+01,6.500000e-01,2.680543e+00,1.742353e+00,1.168348e+01,7.594259e+00
8.722222e+01,2.000000e-01,3.358238e+00,6.716476e-01,1.222939e+01,2.445877e+00
8.722222e+01,2.500000e-01,2.957435e+00,7.393587e-01,1.128094e+01,2.820235e+00
8.722222e+01,3.000000e-01,2.756998e+00,8.270993e-01,1.090232e+01,3.270696e+00
8.722222e+01,3.500000e-01,2.693087e+00,9.425806e-01,1.100498e+01,3.851745e+00
8.722222e+01,4.000000e-01,2.712237e+00,1.084895e+00,1.140748e+01,4.562991e+00
8.722222e+01,4.500000e-01,2.818155e+00,1.268170e+00,1.204228e+01,5.419024e+00
8.722222e+01,5.000000e-01,3.060287e+00,1.530143e+00,1.312448e+01,6.562241e+00
8.722222e+01,5.500000e-01,3.560252e+00,1.958138e+00,1.515653e+01,8.336094e+00
8.722222e+01,6.000000e-01,4.904907e+00,2.942944e+00,2.026348e+01,1.215809e+01
8.722222e+01,6.500000e-01,1.444899e+01,9.391847e+00,6.151545e+01,3.998505e+01
1.044444e+02,2.000000e-01,5.143986e+00,1.028797e+00,1.982245e+01,3.964490e+00
1.044444e+02,2.500000e-01,4.632832e+00,1.158208e+00,1.844297e+01,4.610743e+00
1.044444e+02,3.000000e-01,4.378253e+00,1.313476e+00,1.791301e+01,5.373903e+00
1.044444e+02,3.500000e-01,4.321700e+00,1.512595e+00,1.795634e+01,6.284718e+00
1.044444e+02,4.000000e-01,4.465138e+00,1.786055e+00,1.866702e+01,7.466809e+00
1.044444e+02,4.500000e-01,4.883958e+00,2.197781e+00,2.038803e+01,9.174612e+00
