# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed
7.000000e+01,2.000000e-01,1.904741e+00,3.809481e-01,7.771821e+00,1.554364e+00
7.000000e+01,2.500000e-01,1.602774e+00,4.006935e-01,6.936197e+00,1.734049e+00
7.000000e+01,3.000000e-01,1.926827e+00,5.780482e-01,8.367686e+00,2.510306e+00
7.000000e+01,3.500000e-01,1.999714e+00,6.998999e-01,8.819020e+00,3.086657e+00
7.000000e+01,4.000000e-01,2.009954e+00,8.039814e-01,8.545609e+00,3.418244e+00
7.000000e+01,4.500000e-01,1.996363e+00,8.983633e-01,8.135408e+00,3.660933e+00
7.000000e+01,5.000000e-01,2.032326e+00,1.016163e+00,8.382693e+00,4.191347e+00
7.000000e+01,5.500000e-01,2.144237e+00,1.179330e+00,8.891324e+00,4.890228e+00
7.000000e+01,6.000000e-01,2.344614e+00,1.406768e+00,9.874111e+00,5.924467e+00
7.000000e+01,6.500000e-01,2.670116e+00,1.735575e+00,1.125322e+01,7.314593e+00
8.722222e+01,2.000000e-01,4.242778e+00,8.485555e-01,1.717245e+01,3.434491e+00
8.722222e+01,2.500000e-01,3.745226e+00,9.363066e-01,1.463939e+01,3.659848e+00
8.722222e+01,3.000000e-01,3.405923e+00,1.021777e+00,1.293868e+01,3.881603e+00
8.722222e+01,3.500000e-01,3.222931e+00,1.128026e+00,1.244814e+01,4.356849e+00
8.722222e+01,4.000000e-01,3.162264e+00,1.264906e+00,1.255083e+01,5.020332e+00
8.722222e+01,4.500000e-01,3.207919e+00,1.443564e+00,1.273719e+01,5.731736e+00
8.722222e+01,5.000000e-01,3.359912e+00,1.679956e+00,1.367269e+01,6.836347e+00
8.722222e+01,5.500000e-01,3.626631e+00,1.994647e+00,1.478843e+01,8.133635e+00
8.722222e+01,6.000000e-01,4.058279e+00,2.434967e+00,1.694329e+01,1.016597e+01
8.722222e+01,6.500000e-01,4.754737e+00,3.090579e+00,2.025888e+01,1.316827e+01
1.044444e+02,2.000000e-01,6.274330e+00,1.254866e+00,2.295498e+01,4.590995e+00
1.044444e+02,2.500000e-01,5.508079e+00,1.377020e+00,2.075787e+01,5.189468e+00
1.044444e+02,3.000000e-01,5.103672e+00,1.531101e+00,1.964864e+01,5.894593e+00
1.044444e+02,3.500000e-01,4.912634e+00,1.719422e+00,1.897631e+01,6.641710e+00
1.044444e+02,4.000000e-01,4.905108e+00,1.962043e+00,1.931553e+01,7.726211e+00
1.044444e+02,4.500000e-01,5.036997e+00,2.266649e+00,2.017759e+01,9.079914e+00
1.044444e+02,5.000000e-01,5.341328e+00,2.670664e+00,2.177744e+01,1.088872e+01
1.044444e+02,5.500000e-01,5.861834e+00,3.224009e+00,2.446768e+01,1.345722e+01
1.044444e+02,6.000000e-01,6.718151e+00,4.030891e+00,2.832415e+01,1.699449e+01
1.044444e+02,6.500000e-01,8.628645e+00,5.608619e+00,3.572006e+01,2.321804e+01
1.216667e+02,2.000000e-01,9.020845e+00,1.804169e+00,3.350266e+01,6.700532e+00
1.216667e+02,2.500000e-01,8.011866e+00,2.002966e+00,3.038768e+01,7.596919e+00
1.216667e+02,3.000000e-01,7.497637e+00,2.249291e+00,2.890062e+01,8.670186e+00
1.216667e+02,3.500000e-01,7.279523e+00,2.547833e+00,2.861044e+01,1.001366e+01
1.216667e+02,4.000000e-01,7.323575e+00,2.929430e+00,2.923684e+01,1.169474e+01
1.216667e+02,4.500000e-01,7.607101e+00,3.423196e+00,3.103992e+01,1.396796e+01
1.216667e+02,5.000000e-01,8.155185e+00,4.077592e+00,3.395925e+01,1.697963e+01
1.216667e+02,5.500000e-01,9.201247e+00,5.060686e+00,3.843423e+01,2.113883e+01
1.216667e+02,6.000000e-01,1.167968e+01,7.007809e+00,4.774112e+01,2.864467e+01
1.216667e+02,6.500000e-01,nan,nan,nan,nan
1.388889e+02,2.000000e-01,1.269336e+01,2.538671e+00,4.816824e+01,9.633647e+00
1.388889e+02,2.500000e-01,1.133544e+01,2.833861e+00,4.387592e+01,1.096898e+01
1.388889e+02,3.000000e-01,1.066845e+01,3.200536e+00,4.187898e+01,1.256370e+01
1.388889e+02,3.500000e-01,1.043488e+01,3.652210e+00,4.185021e+01,1.464757e+01
1.388889e+02,4.000000e-01,1.058168e+01,4.232671e+00,4.341128e+01,1.736451e+01
1.388889e+02,4.500000e-01,1.110777e+01,4.998499e+00,4.610162e+01,2.074573e+01
1.388889e+02,5.000000e-01,1.235380e+01,6.176901e+00,5.117689e+01,2.558845e+01
1.388889e+02,5.500000e-01,1.547606e+01,8.511833e+00,6.265709e+01,3.446140e+01
1.388889e+02,6.000000e-01,nan,nan,nan,nan
1.388889e+02,6.500000e-01,nan,nan,nan,nan
1.561111e+02,2.000000e-01,1.738698e+01,3.477396e+00,6.727460e+01,1.345492e+01
1.561111e+02,2.500000e-01,1.561083e+01,3.902707e+00,6.176814e+01,1.544204e+01
