unit_model_class,subtypes,validity_range,tech_type
SurfaceDischargeZO,"['default', 'emwd']",,surface_discharge
SWOnshoreIntakeZO,['default'],"{'units': 'm^3/day', 'lower_bound': 0, 'upper_bound': 400000}",sw_onshore_intake
TrampOilTankZO,['default'],,tramp_oil_tank
TriMediaFiltrationZO,['default'],"{'units': 'Mgallons/day', 'lower_bound': 0, 'upper_bound': 30}",tri_media_filtration
UltraFiltrationZO,['default'],,ultra_filtration
UVAOPZO,"['default', 'hydrogen_peroxide']",,uv_aop
UVZO,['default'],,uv
VFARecoveryZO,['default'],,vfa_recovery
WAIVZO,['default'],,waiv
WalnutShellFilterZO,['default'],"{'units': 'Mgallons/day', 'lower_bound': 0, 'upper_bound': 30}",walnut_shell_filter
WaterPumpingStationZO,"['default', 'raw', 'treated']","{'units': 'Mgallons/day', 'lower_bound': 0, 'upper_bound': 200}",water_pumping_station
WellFieldZO,"['default', 'emwd']","{'units': 'm^3/day', 'lower_bound': 1000, 'upper_bound': 300000}",well_field
