# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed
7.000000e+01,2.000000e-01,1.828724e+00,3.657449e-01,7.756567e+00,1.551313e+00
7.000000e+01,2.500000e-01,1.545572e+00,3.863930e-01,6.924835e+00,1.731209e+00
7.000000e+01,3.000000e-01,1.882176e+00,5.646528e-01,8.359665e+00,2.507899e+00
7.000000e+01,3.500000e-01,1.939744e+00,6.789105e-01,8.200739e+00,2.870259e+00
7.000000e+01,4.000000e-01,1.928417e+00,7.713668e-01,7.866161e+00,3.146464e+00
7.000000e+01,4.500000e-01,1.907574e+00,8.584083e-01,7.729474e+00,3.478263e+00
7.000000e+01,5.000000e-01,1.955746e+00,9.778731e-01,8.122044e+00,4.061022e+00
7.000000e+01,5.500000e-01,2.070539e+00,1.138796e+00,8.625062e+00,4.743784e+00
7.000000e+01,6.000000e-01,2.274337e+00,1.364602e+00,9.572107e+00,5.743264e+00
7.000000e+01,6.500000e-01,2.608425e+00,1.695476e+00,1.121597e+01,7.290378e+00
8.722222e+01,2.000000e-01,4.065040e+00,8.130080e-01,1.536250e+01,3.072499e+00
8.722222e+01,2.500000e-01,3.561480e+00,8.903700e-01,1.324779e+01,3.311948e+00
8.722222e+01,3.000000e-01,3.236747e+00,9.710241e-01,1.218022e+01,3.654065e+00
8.722222e+01,3.500000e-01,3.082599e+00,1.078910e+00,1.195319e+01,4.183616e+00
8.722222e+01,4.000000e-01,3.043693e+00,1.217477e+00,1.193496e+01,4.773985e+00
8.722222e+01,4.500000e-01,3.093212e+00,1.391945e+00,1.239195e+01,5.576378e+00
8.722222e+01,5.000000e-01,3.252595e+00,1.626297e+00,1.321189e+01,6.605945e+00
8.722222e+01,5.500000e-01,3.532583e+00,1.942920e+00,1.468099e+01,8.074543e+00
8.722222e+01,6.000000e-01,3.983019e+00,2.389811e+00,1.692760e+01,1.015656e+01
8.722222e+01,6.500000e-01,4.807455e+00,3.124846e+00,2.041669e+01,1.327085e+01
1.044444e+02,2.000000e-01,5.974893e+00,1.194979e+00,2.187196e+01,4.374392e+00
1.044444e+02,2.500000e-01,5.279077e+00,1.319769e+00,1.999201e+01,4.998002e+00
1.044444e+02,3.000000e-01,4.900509e+00,1.470153e+00,1.861620e+01,5.584860e+00
1.044444e+02,3.500000e-01,4.737844e+00,1.658245e+00,1.847428e+01,6.466000e+00
1.044444e+02,4.000000e-01,4.742320e+00,1.896928e+00,1.877385e+01,7.509539e+00
1.044444e+02,4.500000e-01,4.897833e+00,2.204025e+00,1.985568e+01,8.935057e+00
1.044444e+02,5.000000e-01,5.227508e+00,2.613754e+00,2.174652e+01,1.087326e+01
1.044444e+02,5.500000e-01,5.802698e+00,3.191484e+00,2.435680e+01,1.339624e+01
1.044444e+02,6.000000e-01,6.999884e+00,4.199930e+00,2.922716e+01,1.753630e+01
1.044444e+02,6.500000e-01,1.067109e+01,6.936210e+00,4.248145e+01,2.761294e+01
1.216667e+02,2.000000e-01,8.656499e+00,1.731300e+00,3.229992e+01,6.459985e+00
1.216667e+02,2.500000e-01,7.726086e+00,1.931522e+00,2.912852e+01,7.282131e+00
1.216667e+02,3.000000e-01,7.244072e+00,2.173222e+00,2.813187e+01,8.439562e+00
1.216667e+02,3.500000e-01,7.068984e+00,2.474144e+00,2.812076e+01,9.842267e+00
1.216667e+02,4.000000e-01,7.154493e+00,2.861797e+00,2.921173e+01,1.168469e+01
1.216667e+02,4.500000e-01,7.473230e+00,3.362954e+00,3.095460e+01,1.392957e+01
1.216667e+02,5.000000e-01,8.207766e+00,4.103883e+00,3.411256e+01,1.705628e+01
1.216667e+02,5.500000e-01,9.913104e+00,5.452207e+00,4.070760e+01,2.238918e+01
1.216667e+02,6.000000e-01,1.529110e+01,9.174661e+00,6.030573e+01,3.618344e+01
1.216667e+02,6.500000e-01,nan,nan,nan,nan
1.388889e+02,2.000000e-01,1.225818e+01,2.451636e+00,4.689888e+01,9.379776e+00
1.388889e+02,2.500000e-01,1.099611e+01,2.749028e+00,4.308299e+01,1.077075e+01
1.388889e+02,3.000000e-01,1.040664e+01,3.121993e+00,4.175557e+01,1.252667e+01
1.388889e+02,3.500000e-01,1.022660e+01,3.579311e+00,4.180833e+01,1.463292e+01
1.388889e+02,4.000000e-01,1.049088e+01,4.196352e+00,4.322857e+01,1.729143e+01
1.388889e+02,4.500000e-01,1.140625e+01,5.132814e+00,4.702952e+01,2.116329e+01
1.388889e+02,5.000000e-01,1.378266e+01,6.891331e+00,5.568406e+01,2.784203e+01
1.388889e+02,5.500000e-01,2.136365e+01,1.175000e+01,8.382652e+01,4.610459e+01
1.388889e+02,6.000000e-01,nan,nan,nan,nan
1.388889e+02,6.500000e-01,nan,nan,nan,nan
1.561111e+02,2.000000e-01,1.693708e+01,3.387415e+00,6.703033e+01,1.340607e+01
1.561111e+02,2.500000e-01,1.527247e+01,3.818118e+00,6.168335e+01,1.542084e+01
1.561111e+02,3.000000e-01,1.454655e+01,4.363966e+00,5.940167e+01,1.782050e+01
1.561111e+02,3.500000e-01,1.461322e+01,5.114628e+00,5.994072e+01,2.097925e+01
1.561111e+02,4.000000e-01,1.570800e+01,6.283200e+00,6.429383e+01,2.571753e+01
1.561111e+02,4.500000e-01,1.893930e+01,8.522686e+00,7.554491e+01,3.399521e+01
1.561111e+02,5.000000e-01,2.935020e+01,1.467510e+01,1.147975e+02,5.739873e+01
1.561111e+02,5.500000e-01,nan,nan,nan,nan
1.561111e+02,6.000000e-01,nan,nan,nan,nan
1.561111e+02,6.500000e-01,nan,nan,nan,nan
1.733333e+02,2.000000e-01,2.284140e+01,4.568281e+00,9.242383e+01,1.848477e+01
1.733333e+02,2.500000e-01,2.086648e+01,5.216619e+00,8.502289e+01,2.125572e+01
1.733333e+02,3.000000e-01,2.040705e+01,6.122116e+00,8.337399e+01,2.501220e+01
1.733333e+02,3.500000e-01,2.159965e+01,7.559876e+00,8.763296e+01,3.067153e+01
1.733333e+02,4.000000e-01,2.587912e+01,1.035165e+01,1.022022e+02,4.088086e+01
1.733333e+02,4.500000e-01,3.993652e+01,1.797143e+01,1.558011e+02,7.011050e+01
1.733333e+02,5.000000e-01,nan,nan,nan,nan
1.733333e+02,5.500000e-01,nan,nan,nan,nan
1.733333e+02,6.000000e-01,nan,nan,nan,nan
