,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,pretreatment.uf_pumps[4].op_mode,pretreatment.uf_pumps[4].startup,pretreatment.uf_pumps[4].shutdown,pretreatment.uf_pumps[4].energy_intensity,pretreatment.uf_pumps[4].power_consumption,pretreatment.uf_pumps[4].recovery,pretreatment.uf_pumps[4].feed_flowrate,pretreatment.uf_pumps[4].product_flowrate,pretreatment.uf_pumps[4].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.12955,106.09013868153282,618.3166315771795,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5184268691488303e-13,0.31546704223518246,,,272.5320372321616,957.4098613184672,272.5320372321616,450.20093439152356,722.7329716236851,234.67688969478203,0.7016456232041238,0.270813164906525,0.06556070620315517,1.0,78.93765285903142,0.33317615396942163,236.9246775873365,78.93765285903142,157.9870247283051,0.5812065960052807,0.23711946315511237,0.09396278490002677,1.0,72.33455277385087,0.368572381213422,196.25603127310313,72.33455277385087,123.92147849925226,0.4868818206366944,0.20691295194495332,0.11728901087990071,1.0,65.76512301087037,0.40001806060740874,164.40538437439258,65.76512301087037,98.64026136352223,0.3706188834923235,0.1649911948425194,0.14942603973030075,1.0,55.49470858840895,0.44343661865839556,125.1468783888529,55.49470858840895,69.65216980044394,,,,126.72739727951162,272.5320372321616,126.72739727951162,145.80463988072842,272.53203716024,7.192158428868625e-08,0.23052266247216294,0.10037071688329148,0.25049011455745107,1.0,38.95395002720856,0.465,83.771935542384,38.95395002720856,44.81798551517544,0.23052266247207034,0.10037071688329131,0.25049011455745107,1.0,38.953950027192924,0.465,83.77193554235036,38.953950027192924,44.817985515157446,0.17010192125045062,0.08112330996290511,0.22803724300252778,1.0,28.743992754822397,0.465,61.81503818241375,28.743992754822397,33.07104542759136,0.11880332386651596,0.05753160348281376,0.2602525097501735,1.0,20.075504470287733,0.465,43.173127893091895,20.075504470287733,23.097623422804162,0.8996292831167109,,,0.41,51.95823288459976,126.72739727951162,126.72739725936695,2.0144662025546134e-08,0.10037071688329087,,,702.0957130458513,7.190645231632383e-08,0.7499505700611998,618.3166315771795,0.0,-0.0,0.0,20.0257299052059
1,1,2,0.12955,93.91145917594154,618.3166315832411,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5183957715145845e-13,0.317664719825083,,,272.5320372358492,969.5885408240584,272.53203723584915,460.5919009687091,733.1239382045583,236.46460261950017,0.7183574111969706,0.07911365692150006,0.06240186892865461,1.0,79.16299488568231,0.3263541664216345,242.56774703888107,79.16299488568231,163.40475215319876,0.5929287299835231,0.10102913146590617,0.08930699748766471,1.0,72.59534555213246,0.36258831544567377,200.21424425353624,72.59534555213246,127.6188987014038,0.49248641178677055,0.11425314992040835,0.10864855877033283,1.0,65.83281129541882,0.3958728076131884,166.2978866680388,65.83281129541882,100.46507537262,0.36735291925282726,0.12295001137239811,0.1262159756118947,1.0,54.9408855026156,0.4429142789626445,124.0440602441022,54.9408855026156,69.10317474148658,,,,126.72739728123882,272.53203723584915,126.72739728123882,145.8046398827156,272.53203716395444,7.189471887046421e-08,0.22791056486654696,0.061018717108670795,0.06363081471428483,1.0,38.51255516171397,0.465,82.82269927250316,38.51255516171397,44.31014411078918,0.22791056486645422,0.06101871710866883,0.06363081471428422,1.0,38.5125551616983,0.465,82.82269927246945,38.5125551616983,44.310144110771155,0.1729221316375738,0.09772873015441333,0.0949085197672896,1.0,29.220554726248857,0.465,62.83990263709431,29.220554726248857,33.619347910845455,0.12120730870084616,0.07393923536505298,0.07153525053072164,1.0,20.481732231577684,0.465,44.046735981887494,20.481732231577684,23.565003750309806,0.8386105660080391,,,0.41,51.95823288530791,126.72739728123882,126.72739726109464,2.014417801486541e-08,0.16138943399196234,,,700.3080001194054,7.184519312716233e-08,0.7499505700714212,618.3166315832411,0.0,-0.0,0.0,20.025729905402223
2,1,3,0.12955,90.15645359521714,618.3166315866217,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5184056043307256e-13,0.3183347107425242,,,272.5320372379081,973.3435464047828,272.5320372379081,445.39217837343125,717.9242156113393,255.41933079344352,0.7085046763526978,0.04838271445502421,0.058235449299299406,1.0,79.87265780434639,0.33385888386632445,239.24077406401548,79.87265780434639,159.3681162596691,0.5813725454336802,0.06816403903558332,0.07972022358542763,1.0,72.82033681173026,0.3709417244187672,196.31206741659082,72.82033681173026,123.49173060486058,0.480474049789739,0.0827525579217433,0.0947649199187759,1.0,65.63217775526739,0.4045334147967024,162.2416723925012,65.63217775526739,96.60949463723378,0.3557606590405776,0.09746424530579273,0.10905650551804315,1.0,54.20686486656406,0.4512361562728525,120.12970173823183,54.20686486656406,65.92283687166777,,,,126.7273972822025,272.5320372379081,126.7273972822025,145.8046398838244,272.5320371660269,7.18812070560484e-08,0.22487136378870937,0.04201156587183402,0.04505076694966862,1.0,37.99898792437989,0.465,81.71825360081698,37.99898792437989,43.71926567643708,0.2248713637886164,0.042011565871830775,0.045050766949667614,1.0,37.998987924364194,0.465,81.7182536007832,37.998987924364194,43.719265676419006,0.17548042072168402,0.09322328135921425,0.0906649922751037,1.0,29.652856973970884,0.465,63.769584890259964,29.652856973970884,34.11672791628908,0.12472742177811436,0.07392211128327288,0.07040199820600374,1.0,21.076564459487543,0.465,45.325945074166754,21.076564459487543,24.24938061467921,0.7965990001362047,,,0.41,51.958232885703026,126.7273972822025,126.72739726205843,2.0144072092660132e-08,0.20340099986379667,,,681.3532719444983,7.180800389169976e-08,0.7499505700771242,618.3166315866217,0.0,-0.0,0.0,20.02572990551171
3,1,4,0.12955,90.3709881969145,618.3166315892354,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5184316546743098e-13,0.31829631657088087,,,272.5320372394984,973.1290118030855,272.5320372394983,414.6842385951519,687.2162758346502,285.91273596843524,0.6866705660746227,0.03478756406114109,0.05662167433921959,1.0,81.34294131754292,0.35081565270098425,231.86805004641784,81.34294131754292,150.52510872887493,0.5570644686777787,0.050801288181588994,0.07510936493749268,1.0,73.1983714666627,0.38913785654450106,188.10395913842555,73.1983714666627,114.90558767176285,0.4565366799791265,0.06356171270730442,0.0874990825179185,1.0,65.15026188109712,0.4226180207051359,154.15874072855166,65.15026188109712,89.00847884745454,0.3348995348158119,0.0782734386769995,0.09913456290176614,1.0,52.840462574195605,0.4672610587758963,113.08552592125521,52.840462574195605,60.245063347059606,,,,126.72739728294577,272.5320372394983,126.72739728294577,145.80463988467955,272.53203716762533,7.187301958310485e-08,0.2240105762968168,0.03977164087185928,0.04063242836374861,1.0,37.853531193212405,0.465,81.40544342626323,37.853531193212405,43.55191223305082,0.2240105762967238,0.03977164087185586,0.04063242836374749,1.0,37.85353119319669,0.465,81.40544342622944,37.85353119319669,43.551912233032745,0.1760401169703827,0.08727631034449557,0.08671661409579676,1.0,29.74743500577224,0.465,63.97297850703707,29.74743500577224,34.22554350126483,0.1258893005175993,0.07157894565238446,0.07041706691289877,1.0,21.27289989076445,0.465,45.748171808095584,21.27289989076445,24.47527191733114,0.7568273592643452,,,0.41,51.95823288600777,126.72739728294577,126.7273972628018,2.0143977726376275e-08,0.24317264073565611,,,650.8598667687631,7.178347320779875e-08,0.7499505700815225,618.3166315892354,0.0,-0.0,0.0,20.02572990559636
4,1,5,0.12955,84.91502203872294,618.3166315894035,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5184621741895698e-13,0.3192639740819734,,,272.5320372396175,978.584977961277,272.5320372396175,398.4905985071589,671.0226357467765,307.5623422145006,0.6728367178583609,0.043170484560994274,0.05700433277725877,1.0,82.00946127070623,0.3609622603324215,227.19677451923275,82.00946127070623,145.18731324852652,0.5432779452786244,0.06205807633040713,0.07584459972956321,1.0,73.29070195686968,0.3995161395336051,183.4486637822331,73.29070195686968,110.15796182536343,0.4445503072350012,0.07615815741363813,0.08814453015776466,1.0,64.88229050923768,0.4322278838388799,150.11130224404286,64.88229050923768,85.22901173480518,0.326549279477797,0.09048457019318229,0.09883482553119796,1.0,52.34958350280396,0.47475770642636395,110.26589520126771,52.34958350280396,57.91631169846375,,,,126.72739728300043,272.5320372396175,126.72739728300043,145.80463988474241,272.5320371677428,7.187466868034545e-08,0.22330060117956949,0.040121793220236485,0.04083176833748048,1.0,37.73355888792483,0.465,81.14743846865555,37.73355888792483,43.413879580730715,0.22330060117947642,0.04012179322023301,0.040831768337479334,1.0,37.733558887909105,0.465,81.14743846862173,37.733558887909105,43.413879580712624,0.1765875120477796,0.08979242876279774,0.08924503368540065,1.0,29.839934373345844,0.465,64.1719018781631,29.839934373345844,34.33196750481726,0.12676185567502057,0.07293770628124602,0.07206515112382399,1.0,21.420345133820653,0.465,46.06525835230247,21.420345133820653,24.644913218481822,0.7167055660441085,,,0.41,51.958232886030174,126.72739728300043,126.72739726285637,2.014404453457533e-08,0.2832944339558928,,,629.2102605226431,7.175544040777948e-08,0.7499505700818461,618.3166315894036,0.0,-0.0,0.0,20.025729905601807
5,1,6,0.12955,75.6640859290299,618.316631589923,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5184905379765108e-13,0.3208878151814289,,,272.5320372399592,987.83591407097,272.53203723995927,388.890339100529,661.4223763404882,326.41353773048183,0.6656593377325745,0.047317701601166016,0.054495081726954886,1.0,82.51013401081785,0.36708174375613223,224.7731885721584,82.51013401081785,142.26305456134054,0.5351551981533171,0.06615655463282384,0.07427930175813262,1.0,73.36172415559719,0.40597314263495726,180.7058557604306,73.36172415559719,107.34413160483341,0.4370569554846704,0.0795465667678821,0.08703991851821405,1.0,64.68668217101967,0.4383130108798908,147.58102215850866,64.68668217101967,82.89433998748898,0.3209118661693089,0.09238228173909821,0.09801969504758701,1.0,51.973496902524516,0.4796270675178626,108.36230984939054,51.973496902524516,56.388812946866025,,,,126.72739728315979,272.53203723995927,126.72739728315979,145.80463988492576,272.53203716808554,7.187372153266426e-08,0.22259008354323687,0.040818823223618315,0.04152934085994763,1.0,37.61349490721972,0.465,80.88923635961228,37.61349490721972,43.275741452392566,0.2225900835431438,0.04081882322361492,0.04152934085994652,1.0,37.61349490720398,0.465,80.88923635957845,37.61349490720398,43.27574145237447,0.17710743371976537,0.08977240755884551,0.08925248588685954,1.0,29.927791257399672,0.465,64.36084141376273,29.927791257399672,34.43305015636306,0.12766296927664306,0.0732931650778902,0.07239205147626694,1.0,21.57261621133642,0.465,46.392723035132086,21.57261621133642,24.820106823795665,0.67588674282049,,,0.41,51.958232886095516,126.72739728315979,126.72739726301552,2.0144274269871804e-08,0.32411325717951145,,,610.3590650065029,7.17084200579804e-08,0.7499505700827891,618.316631589923,0.0,-0.0,0.0,20.02572990561863
6,1,7,0.12955,57.17615429017055,618.3166315887281,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.518509534418902e-13,0.3240711104415293,,,272.5320372393047,1006.3238457098294,272.53203723930466,397.4083829019349,669.9404201412395,336.38342556858987,0.6746613744413543,0.049417813532910713,0.040415776824133116,1.0,82.25263995691336,0.36105346834681257,227.81290630761214,82.25263995691336,145.56026635069878,0.542755778577014,0.06668969139669659,0.059089110973001305,1.0,73.38352637234904,0.4004069837814343,183.27234375210028,73.38352637234904,109.88881737975126,0.4428058647275081,0.07927295568092324,0.07352404643808669,1.0,64.81974377804727,0.43351234367115754,149.52225634253767,64.81974377804727,84.70251256449042,0.3237862816921535,0.09269067082866679,0.08981625530582288,1.0,52.07612713199504,0.4763078687934493,109.33291373898948,52.07612713199504,57.25678660699444,,,,126.72739728285326,272.53203723930466,126.72739728285326,145.8046398845731,272.5320371674263,7.187833501637227e-08,0.22143338258593234,0.042590288313925265,0.04374698927122683,1.0,37.41803442275343,0.465,80.46889123172781,37.41803442275343,43.05085680897437,0.22143338258583917,0.04259028831392213,0.04374698927122581,1.0,37.41803442273769,0.465,80.46889123169396,37.41803442273769,43.05085680895627,0.17803285680407493,0.08973280233636233,0.08880737925205259,1.0,30.08417017560939,0.465,64.69714016260083,30.08417017560939,34.612969986991445,0.12905094810512865,0.07398341571917752,0.07259543689069117,1.0,21.807158261752743,0.465,46.89711454140375,21.807158261752743,25.089956279651005,0.6332964545065645,,,0.41,51.95823288596983,126.72739728285326,126.72739726270817,2.0145084634905073e-08,0.36670354549343737,,,600.3891771687022,7.160033624520654e-08,0.7499505700809751,618.3166315887281,0.0,-0.0,0.0,20.025729905579933
7,1,8,0.12955,40.14469260537554,618.3166315883274,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.518498417805267e-13,0.32693654231663993,,,272.53203723917875,1023.3553073946244,272.53203723917875,388.04064389073517,660.5726811299138,362.7826262647106,0.6713180672832693,0.054616535707322625,0.05795984286540978,1.0,83.30931675590607,0.36751304515096656,226.68397177954154,83.30931675590607,143.37465502363546,0.5364834656622968,0.07338988469878441,0.07966219761350296,1.0,73.58906296218956,0.4062229479217881,181.15437185018774,73.58906296218956,107.5653088879982,0.434253508235628,0.08739392759530859,0.0959462840871896,1.0,64.4611707745052,0.4396047491682501,146.63438212592453,64.4611707745052,82.17321135141933,0.31421196841371785,0.10124732426346365,0.1108216375418998,1.0,51.17248674657792,0.4823045077210207,106.09995537426012,51.17248674657792,54.927468627682195,,,,126.72739728279295,272.53203723917875,126.72739728279295,145.8046398845037,272.53203716729666,7.188208399695653e-08,0.21995230874936653,0.050155390161907294,0.05163646399847059,1.0,37.16776108477671,0.465,79.9306689995198,37.16776108477671,42.76290791474309,0.21995230874927327,0.050155390161904706,0.05163646399846976,1.0,37.16776108476094,0.465,79.9306689994859,37.16776108476094,42.762907914724956,0.17908933127122248,0.09588163723121418,0.0948251627640663,1.0,30.26269428754244,0.465,65.08106298396224,30.26269428754244,34.81836869641979,0.13095662131075597,0.07749862605552266,0.07559295284989444,1.0,22.129180825712854,0.465,47.58963618432872,22.129180825712854,25.460455358615864,0.5831410643446573,,,0.41,51.95823288594511,126.72739728279295,126.72739726264638,2.014657676025061e-08,0.4168589356553458,,,573.9899764726432,7.141056151664812e-08,0.7499505700806182,618.3166315883274,0.0,-0.0,0.0,20.02572990556695
8,1,9,0.12955,50.541776546547034,618.3166315873145,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5186103323300448e-13,0.32519495330200093,,,272.5320372384881,1012.9582234534529,272.5320372384881,392.42598735377067,664.9580245922588,348.0001988611942,0.6707477354250873,0.07080444985193535,0.07137478171011881,1.0,82.62547112523416,0.3648062379770106,226.49138782098922,82.62547112523416,143.86591669575506,0.5380005419984256,0.09749107285942965,0.09597399652330166,1.0,73.32738197608441,0.4036370175528397,181.6666430166084,73.32738197608441,108.33926104052398,0.4385408790204017,0.11574490177302947,0.11145753098825645,1.0,64.6123779802235,0.4363280814007856,148.08209861881903,64.6123779802235,83.46972063859553,0.3219649217752307,0.12927786186724136,0.12152490850572871,1.0,51.96680615694604,0.4779968016483551,108.71789513584214,51.96680615694604,56.75108897889611,,,,126.72739728247002,272.5320372384881,126.72739728247002,145.80463988413214,272.5320371666022,7.188590430695776e-08,0.2208237912418421,0.07166764815807732,0.0707961656656,1.0,37.31502506783772,0.465,80.24736573728542,37.31502506783772,42.9323406694477,0.2208237912417489,0.0716676481580758,0.07079616566559947,1.0,37.31502506782197,0.465,80.24736573725153,37.31502506782197,42.932340669429564,0.17851895011382804,0.10115022620156126,0.10172060735895515,1.0,30.166310709184778,0.465,64.87378647136511,30.166310709184778,34.70747576218033,0.12978403748128814,0.07863420757754598,0.0798067914070128,1.0,21.93103643762555,0.465,47.1635192207001,21.93103643762555,25.232482783074555,0.6118441330698715,,,0.41,51.958232885812706,126.72739728247002,126.72739726232447,2.0145550775013424e-08,0.38815586693013093,,,588.7724038764816,7.1543626142718e-08,0.7499505700787072,618.3166315873144,0.0,-0.0,0.0,20.02572990553415
9,1,10,0.12955,50.09975723153373,618.3166315932441,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.5186219671215394e-13,0.3252694850871364,,,272.5320372420859,1013.4002427684662,272.5320372420859,353.86135642313576,626.3933936652217,387.00684910324463,0.6400834153077396,0.09268771609887345,0.1233520362162221,1.0,84.83413174098652,0.39250172230397734,216.13696684696444,84.83413174098652,131.30283510597792,0.5082340878044806,0.12383172336013303,0.15359817755407856,1.0,73.8747238911192,0.43046674124002027,171.615404428939,73.8747238911192,97.7406805378198,0.41051633854245095,0.1394352124173115,0.16745975289526246,1.0,63.91401426614625,0.4610766942028155,138.61905203562944,63.91401426614625,74.70503776948317,0.29621219046314073,0.13851885446864692,0.1642715857807368,1.0,49.90916734383389,0.49898204531770524,100.02197035368874,49.90916734383389,50.11280300985486,,,,126.7273972841535,272.5320372420859,126.72739728415351,145.80463988606908,272.53203717022257,7.186331616944769e-08,0.2241424695322436,0.09982527525387896,0.09650659696347623,1.0,37.87581864402805,0.465,81.45337342801731,37.87581864402805,43.577554783989264,0.22414246953215045,0.09982527525387817,0.09650659696347594,1.0,37.87581864401231,0.465,81.45337342798346,37.87581864401231,43.57755478397116,0.17734741780314636,0.1065125703913667,0.1076841027020476,1.0,29.968344007793476,0.465,64.44805162966338,29.968344007793476,34.47970762186991,0.12431821322112935,0.07706963932948822,0.08253546358964581,1.0,21.007415988319657,0.465,45.177238684558404,21.007415988319657,24.169822696238743,0.5730375749246631,,,0.41,51.958232886502934,126.72739728415351,126.72739726400793,2.0145571277327328e-08,0.42696242507533916,,,549.7657536327475,7.150180059739862e-08,0.7499505700886697,618.3166315932441,0.0,-0.0,0.0,20.025729905726195
