,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.energy_intensity,pretreatment.power_consumption,pretreatment.recovery,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.12955,1.6327055799863486e-13,2184.263520879619,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.1314870429668164e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1315001310387794e-13,,,,1790.5558248245393,1063.4999999999995,526.7651996987031,486.2447999076906,1013.0099996063936,50.49000039360581,0.9999999996783708,0.2690142274816979,6.264598203175604e-11,3.3991535998367652,596.851941648131,0.5199999999046379,337.6699998913955,175.5883999113193,162.08159998007622,0.9999999996782158,0.2690142274816978,6.264601818046201e-11,3.3991535998367595,596.8519416480364,0.5199999999046371,337.66999989134314,175.5883999112918,162.08159998005135,0.9999999994777596,0.33333407399037407,1.0845525750305796e-10,3.39915359983669,596.8519415283721,0.5199999999046415,337.66999982365513,175.5883998760921,162.081599947563,0.7309857725183023,,,0.41,215.97373187646826,526.7651996987031,526.7651996909755,7.727639316820751e-09,0.2690142274816982,,,536.7348003090249,6.961163899834205e-08,2.999999998834346,2184.263520879619,0.0,-0.0,0.0,70.74283478248866
1,1,2,0.12955,1.632705613762718e-13,2184.2635209706837,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.1314870114065156e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1315002927784385e-13,,,,1790.555824906551,1063.4999999999995,526.7651997232325,486.24479993334495,1013.0099996565774,50.490000343422146,0.999999999722471,1.0541949093653538e-10,6.130651403762866e-11,3.3991535998341917,596.8519416722279,0.5199999999030913,337.6699999062868,175.58839991854123,162.0815999877456,0.9999999997223161,1.0541710203712638e-10,6.130574694902078e-11,3.3991535998341926,596.8519416721358,0.5199999999030914,337.6699999062345,175.58839991851406,162.08159998772047,0.9999999995381764,1.606508836837302e-10,1.0022814327427385e-10,3.3991535998340328,596.8519415621871,0.5199999999030888,337.66999984405606,175.5883998861772,162.0815999578789,0.730985772412883,,,0.41,215.9737318865253,526.7651997232325,526.7651997155049,7.72763962677213e-09,0.2690142275871177,,,536.7348002844956,6.860714357079755e-08,2.9999999989829638,2184.2635209706837,0.0,-0.0,0.0,70.74283478543802
2,1,3,0.12955,1.6327056277927351e-13,2184.2635209573596,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.1314871328498127e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1315003435145954e-13,,,,1790.55582489454,1063.4999999999995,526.7651997196327,486.2447999295228,1013.0099996491555,50.49000035084403,0.9999999997149702,5.457066853529023e-11,6.204577308054735e-11,3.3991535998346265,596.8519416681225,0.5199999999033489,337.669999903754,175.588399917311,162.08159998644302,0.9999999997148153,5.4565834560439846e-11,6.204424090134334e-11,3.399153599834636,596.8519416680314,0.5199999999033486,337.6699999037017,175.5883999172837,162.081599986418,0.9999999995311982,8.607803404865649e-11,9.304475191584603e-11,3.3991535998344395,596.851941558386,0.5199999999033439,337.66999984169973,175.588399885038,162.08159995666176,0.7309857723583121,,,0.41,215.9737318850494,526.7651997196327,526.7651997119051,7.727639707812007e-09,0.26901422764168836,,,536.7348002880952,6.877015750267947e-08,2.9999999989609836,2184.2635209573596,0.0,-0.0,0.0,70.74283478500648
3,1,4,0.12955,1.6327056577886306e-13,2184.263520904632,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.1314874817651933e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.13150042112249e-13,,,,1790.555824847048,1063.4999999999995,526.7651997054237,486.24479991463176,1013.0099996200555,50.49000037994403,0.9999999996872984,3.652261533099421e-11,6.415501892774486e-11,3.399153599836112,596.8519416529084,0.5199999999042575,337.66999989441,175.58839991275852,162.0815999816515,0.9999999996871435,3.6515484471432666e-11,6.41527798064323e-11,3.3991535998361155,596.8519416528171,0.5199999999042578,337.6699998943577,175.58839991273146,162.08159998162625,0.9999999995003634,5.865137494048934e-11,8.946856438765993e-11,3.3991535998360747,596.8519415413225,0.5199999999042633,337.6699998312877,175.58839987993372,162.081599951354,0.7309857723217895,,,0.41,215.97373187922372,526.7651997054237,526.7651996976961,7.727639700518206e-09,0.269014227678211,,,536.7348003023043,6.936011451827201e-08,2.999999998874805,2184.263520904632,0.0,-0.0,0.0,70.74283478329878
4,1,5,0.12955,1.6327057247925867e-13,2184.263520870905,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.131487855184507e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.131500619884944e-13,,,,1790.5558248166992,1063.4999999999995,526.7651996963638,486.24479990528704,1013.0099996016509,50.490000398348585,0.9999999996678144,4.758703460870631e-11,6.703431295141092e-11,3.399153599836966,596.8519416420079,0.5199999999047625,337.6699998878309,175.58839990950761,162.08159997832328,0.9999999996676595,4.757763792453621e-11,6.703132960140095e-11,3.3991535998369775,596.8519416419185,0.5199999999047635,337.6699998877786,175.58839990948076,162.08159997829785,0.9999999994848261,7.370195837299809e-11,8.922514066937272e-11,3.399153599836909,596.8519415327727,0.519999999904767,337.66999982604125,175.5883998773754,162.08159994866588,0.7309857722742025,,,0.41,215.97373187550912,526.7651996963638,526.7651996886361,7.727639737879982e-09,0.269014227725798,,,536.7348003113641,6.969624237724399e-08,2.9999999988203,2184.263520870905,0.0,-0.0,0.0,70.74283478220643
5,1,6,0.12955,1.6327057320826328e-13,2184.263520850371,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.131487861472114e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1315006093078887e-13,,,,1790.5558247982324,1063.4999999999995,526.7651996908571,486.24479989965465,1013.0099995905118,50.49000040948762,0.9999999996553263,5.5099610416349435e-11,6.75506555559679e-11,3.3991535998374403,596.8519416349607,0.5199999999050449,337.669999883614,175.58839990740998,162.08159997620405,0.9999999996551713,5.508808076149895e-11,6.754696084610272e-11,3.399153599837455,596.8519416348722,0.5199999999050461,337.66999988356173,175.58839990738318,162.08159997617855,0.9999999994768148,8.119456052676749e-11,8.919319938022041e-11,3.399153599837389,596.8519415283994,0.5199999999050495,337.66999982333607,175.58839987606402,162.08159994727208,0.730985772219103,,,0.41,215.9737318732514,526.7651996908571,526.7651996831295,7.727639806604848e-09,0.2690142277808976,,,536.7348003168707,6.988726171879662e-08,2.9999999987873123,2184.263520850371,0.0,-0.0,0.0,70.74283478154139
6,1,7,0.12955,1.6327056722265512e-13,2184.263520839368,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.1314876274908943e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.131500359681582e-13,,,,1790.5558247883396,1063.4999999999995,526.7651996879088,486.2447998966521,1013.009999584561,50.49000041543853,0.9999999996485196,6.057795020380736e-11,6.734599555772345e-11,3.399153599837684,596.8519416311066,0.5199999999051895,337.6699998813156,175.58839990626353,162.0815999750521,0.9999999996483647,6.056434988467674e-11,6.734162242478657e-11,3.399153599837688,596.851941631015,0.5199999999051897,337.6699998812633,175.58839990623642,162.08159997502688,0.9999999994728049,8.47293438039368e-11,8.872738394466663e-11,3.3991535998376463,596.8519415262176,0.5199999999051946,337.66999982198206,175.58839987540887,162.0815999465732,0.7309857721585251,,,0.41,215.9737318720426,526.7651996879088,526.7651996801811,7.727639898098806e-09,0.26901422784147555,,,536.7348003198191,6.998580575978626e-08,2.999999998769689,2184.2635208393676,0.0,-0.0,0.0,70.74283478118504
7,1,8,0.12955,1.6327056122794797e-13,2184.263520836642,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.131487416872616e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1315001950002617e-13,,,,1790.5558247858885,1063.4999999999995,526.7651996871787,486.2447998959099,1013.0099995830886,50.49000041691096,0.9999999996469392,6.568544602200427e-11,6.72257084260429e-11,3.399153599837744,596.851941630214,0.5199999999052246,337.6699998807819,175.58839990599787,162.08159997478407,0.9999999996467842,6.566978261258347e-11,6.722068809512968e-11,3.3991535998377422,596.8519416301211,0.5199999999052245,337.6699998807296,175.58839990597065,162.081599974759,0.9999999994716057,8.674529955983991e-11,8.793362140049838e-11,3.3991535998377094,596.8519415255532,0.5199999999052299,337.6699998215771,175.5883998752102,162.0815999463669,0.7309857720928394,,,0.41,215.97373187174327,526.7651996871787,526.765199679451,7.727640010731318e-09,0.269014227907161,,,536.7348003205493,7.000992481244115e-08,2.999999998765329,2184.2635208366414,0.0,-0.0,0.0,70.74283478109673
8,1,9,0.12955,1.6327055045906452e-13,2184.263520843934,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.131486169678898e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1314991587164036e-13,,,,1790.5558247923916,1063.4999999999995,526.7651996891165,486.24479989788176,1013.0099995869982,50.49000041300134,0.9999999996522182,7.265944093396965e-11,6.733881737015627e-11,3.399153599837585,596.851941633229,0.5199999999051302,337.6699998825645,175.58839990689304,162.08159997567148,0.9999999996520629,7.2641667942215e-11,6.733319131426298e-11,3.399153599837586,596.8519416331366,0.5199999999051305,337.6699998825121,175.58839990686582,162.0815999756463,0.9999999994726256,8.817272883665534e-11,8.714219859791733e-11,3.3991535998375486,596.8519415260259,0.5199999999051358,337.6699998219215,175.58839987535754,162.08159994656398,0.9999999995018737,,,0.41,215.9737318725377,526.7651996891165,526.7651996815016,7.614826510894629e-09,4.981244720588817e-10,,,536.7348003184987,7.000476615320867e-08,2.9999999987769064,2184.263520843934,0.0,-0.0,0.0,70.74283478133292
9,1,10,0.12955,1.6327054888028693e-13,2184.2635208477923,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.131486126686961e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.1314991349933807e-13,,,,1790.5558247958606,1063.4999999999995,526.7651996901501,486.24479989893473,1013.0099995890848,50.49000041091465,0.9999999996547083,6.976345336282486e-11,6.723173448403406e-11,3.3991535998374993,596.8519416346421,0.5199999999050795,337.6699998834054,175.58839990731317,162.08159997609224,0.999999999654553,6.974605181467139e-11,6.722611364502992e-11,3.3991535998375024,596.8519416345501,0.5199999999050797,337.6699998833529,175.58839990728595,162.08159997606694,0.9999999994738251,8.839442869673561e-11,8.718464867195112e-11,3.3991535998374616,596.8519415266682,0.5199999999050849,337.66999982232653,175.58839987555095,162.08159994677555,0.9999999995375294,,,0.41,215.97373187296154,526.7651996901501,526.765199682544,7.606141808459786e-09,4.624685612565756e-10,,,536.7348003174563,6.997012498070302e-08,2.9999999987830863,2184.2635208477923,0.0,-0.0,0.0,70.74283478145787
10,1,11,0.12955,1.6327054812015964e-13,2184.2635208492206,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,3.1314860978475676e-13,1,,,0.01,10.634999999999996,1,1063.4999999999998,1063.4999999999995,3.131499127047794e-13,,,,1790.5558247971449,1063.4999999999995,526.7651996905329,486.2447998993249,1013.0099995898579,50.49000041014161,0.9999999996554667,6.794108250444557e-11,6.71414637528069e-11,3.3991535998374665,596.8519416350673,0.5199999999050605,337.6699998836615,175.58839990743996,162.08159997622153,0.9999999996553114,6.792411832525504e-11,6.713594667979234e-11,3.3991535998374713,596.8519416349759,0.519999999905061,337.669999883609,175.58839990741282,162.08159997619623,0.9999999994745975,8.817014168055588e-11,8.73874219419522e-11,3.3991535998374287,596.8519415271016,0.519999999905066,337.66999982258733,175.5883998756802,162.08159994690715,0.9999999995241591,,,0.41,215.97373187311848,526.7651996905329,526.7651996829234,7.609550942070741e-09,4.758388917770971e-10,,,536.7348003170769,6.995723039962277e-08,2.9999999987853756,2184.2635208492206,0.0,-0.0,0.0,70.74283478150413
